Transaction  No.,Vendor Name,Category,Amount
5201120407,TRANSPORT TRADING LTD,Travel,"£3,199,472"
5201120117,VEOLIA ES (UK) LTD,Public Realm,"£1,416,212"
1900789109,HAYS SPECIALIST RECRUITMENT,People and Recruitment,"£555,044"
1900789831,HARINGEY SCHOOLS SERVICES LIMITED,Children and Education,"£353,430"
1900789323,TRANSPORT FOR LONDON,Travel,"£293,352"
1900789136,LONDON CAPITAL CREDIT UNION LTD,General,"£250,000"
1900788710,RM EDUCATION LTD,IT and Telecoms,"£248,929"
1900790110,LONDON BOROUGH OF WALTHAM FOREST,Children and Education,"£216,440"
5201120437,CITY OF LONDON,General,"£209,000"
1900790146,LOVELL PARTNERSHIPS LTD,"Construction, Property and Fac Man","£164,276"
5201118550,DIAMOND BUILD PLC,"Construction, Property and Fac Man","£160,358"
5201120408,CRIME REDUCTION INITIATIVES,General,"£156,797"
1900789060,APOLLO PROPERTY SERVICES GROUP LTD,"Construction, Property and Fac Man","£128,433"
1900790107,APOLLO PROPERTY SERVICES GROUP LTD,"Construction, Property and Fac Man","£116,383"
1900790145,LOVELL PARTNERSHIPS LTD,"Construction, Property and Fac Man","£112,586"
5201118780,BLENHEIM CDP,Social care,"£107,584"
5201119966,MEDEQUIP ASSISTIVE TECH. LTD,Social care,"£101,733"
5201118182,INSIGHT DIRECT (UK) LTD,IT and Telecoms,"£97,191"
1900788709,RM EDUCATION LTD,IT and Telecoms,"£91,459"
5201117930,HEYWOOD LIMITED,IT and Telecoms,"£85,856"
5201118177,EUROPA FACILITIES MANAGEMENT LTD,"Construction, Property and Fac Man","£83,596"
5201118800,REED IN PARTNERSHIP LIMITED,General,"£83,102"
1900790637,OTIS LIMITED,"Construction, Property and Fac Man","£76,256"
1900789059,APOLLO PROPERTY SERVICES GROUP LTD,"Construction, Property and Fac Man","£76,062"
5201117977,CITY OF LONDON,Learning and Development,"£70,072"
1900789776,ISLINGTON COUNCIL,Children and Education,"£61,602"
1900789927,ASSETGROVE LETTINGS LTD,Temporary Accommodation,"£60,740"
1900790144,LOVELL PARTNERSHIPS LTD,"Construction, Property and Fac Man","£58,609"
1900790557,PLEXUS CLIENT ACCOUNT,Finance,"£57,500"
1900790573,URBAN LAND MANAGEMENT LTD,Temporary Accommodation,"£55,768"
1900788690,LOGICALIS UK LTD,IT and Telecoms,"£55,654"
200337487,EPIC TRUST - SWALLOW HOUSE,Social care,"£55,567"
5201118781,BLENHEIM CDP,Social care,"£55,074"
200337486,METROPOLITAN SUPPORT TRUST,Social care,"£53,468"
5201119491,MOUCHEL LIMITED,"Construction, Property and Fac Man","£50,944"
5201118395,E-DBA LIMITED,IT and Telecoms,"£50,497"
5201118156,CITY OF LONDON,General,"£50,372"
5201118377,RAYTELL ELECTRICAL COMPANY LTD,"Construction, Property and Fac Man","£49,881"
5201119376,ALEXANDRA PALACE CHARITABLE TRUST,General,"£49,800"
1900789058,APOLLO PROPERTY SERVICES GROUP LTD,"Construction, Property and Fac Man","£49,032"
200337488,ST MUNGOS HOUSING ASSOCIATION,Social care,"£48,307"
1900790638,OTIS LIMITED,"Construction, Property and Fac Man","£48,232"
1900788864,ACTION FOR BLIND PEOPLE,Children and Education,"£48,000"
