Transaction No.,Vendor Name, Category ,Amount
1900798811,HOMES FOR HARINGEY LIMITED,ALMO Management Fee,"£3,248,833.00"
5201132077,VEOLIA ES (UK) LTD,Public Realm,"£1,416,212.21"
1900797032,BARNET ENFIELD+HAR M H NHS TRUST,Public Health,"£726,384.00"
1900798130,KEEPMOAT REGENRATION (APOLLO) LTD,"Construction, Property and Fac Man","£568,001.62"
1900797095,HAYS SPECIALIST RECRUITMENT,People and Recruitment,"£526,252.18"
1900797794,HAYS SPECIALIST RECRUITMENT,People and Recruitment,"£521,639.50"
5201129987,CNWL NHS FOUNDATION TRUST,Public Health,"£419,215.52"
5201131712,BALFOUR BEATTY CONSTRUCTION SCOTTIS,"Construction, Property and Fac Man","£416,830.20"
5201131072,DIAMOND BUILD PLC,"Construction, Property and Fac Man","£405,099.45"
5201129988,CNWL NHS FOUNDATION TRUST,Public Health,"£383,433.00"
5201130474,HARINGEY SCHOOLS SERVICES LIMITED,Children and Education,"£353,897.97"
5201132263,WHITTINGTON HOSPITAL NHS TRUST,Public Health,"£345,453.38"
1900797459,HOMES FOR HARINGEY LIMITED,"Construction, Property and Fac Man","£310,587.20"
5201131992,CGI IT UK LIMITED,IT and Telecoms,"£267,000.00"
1900797461,HOMES FOR HARINGEY LIMITED,"Construction, Property and Fac Man","£257,320.94"
1900797700,RM EDUCATION LTD,IT and Telecoms,"£249,241.91"
5201130792,CITY OF LONDON,General,"£239,724.00"
1900798542,BARNET ENFIELD+HAR M H NHS TRUST,Public Health,"£181,596.00"
5201132253,NHS HARINGEY CCG,Public Health,"£165,000.00"
5201129986,CNWL NHS FOUNDATION TRUST,Public Health,"£145,832.31"
1900797557,BRIDGE RENEWAL TRUST,"Construction, Property and Fac Man","£142,500.08"
5201129985,LENGARD LTD,"Construction, Property and Fac Man","£137,462.38"
1900798127,LOVELL PARTNERSHIPS LTD,"Construction, Property and Fac Man","£135,526.49"
5201131540,HOME OFFICE,People and Recruitment,"£109,336.00"
5201130357,BLENHEIM CDP,Social Care,"£107,584.33"
1900797449,LONDON BOROUGH OF HAVERING,Public Health,"£100,000.00"
5201129791,MEDEQUIP ASSISTIVE TECH. LTD,Social Care,"£98,329.50"
5201131731,RINGWAY JACOBS LIMITED,Public Realm,"£97,527.51"
5201131799,RINGWAY JACOBS LIMITED,Public Realm,"£96,970.56"
1900798306,NHS HARINGEY CCG,Public Health,"£92,740.32"
5201130839,NORTHGATE INFORMATION SOLUTIONS UK,Learning and Development,"£90,768.50"
1900797888,HOMES FOR HARINGEY LIMITED,"Construction, Property and Fac Man","£76,174.81"
5201132260,RINGWAY JACOBS LIMITED,Public Realm,"£73,036.32"
1900797034,LOVELL PARTNERSHIPS LTD,"Construction, Property and Fac Man","£68,205.01"
5201131998,GRANT THORNTON UK LLP,Finance,"£68,175.00"
1900798123,LOVELL PARTNERSHIPS LTD,"Construction, Property and Fac Man","£67,586.66"
5201127822,CITY OF LONDON,General,"£66,500.00"
1900797117,CORELOGIC LTD,IT and Telecoms,"£66,489.36"
5201129982,WHITTINGTON HOSPITAL NHS TRUST,Public Health,"£64,083.00"
5201131844,WHITTINGTON HOSPITAL NHS TRUST,Public Health,"£64,083.00"
5201132262,WHITTINGTON HOSPITAL NHS TRUST,Public Health,"£64,083.00"
1900797757,URBAN LAND MANAGEMENT LTD,Temporary Accommodation,"£63,049.80"
5201131722,RINGWAY JACOBS LIMITED,Public Realm,"£62,567.92"
5201132002,POST ADOPTION CENTRE,People and Recruitment,"£62,500.00"
5201131714,PURDY CONTRACTS LTD,"Construction, Property and Fac Man","£60,199.12"
1900798485,NHS HARINGEY CCG,Public Health,"£59,819.81"
5201131604,MEDEQUIP ASSISTIVE TECH. LTD,Social Care,"£58,961.14"
5201132259,RINGWAY JACOBS LIMITED,Public Realm,"£57,324.51"
1900798523,ST ELIZABETHS CENTRE,Children and Education,"£53,748.00"
1900798144,MULALLEY AND CO LIMITED,"Construction, Property and Fac Man","£53,698.75"
1900797890,HOMES FOR HARINGEY LIMITED,"Construction, Property and Fac Man","£53,164.77"
1900797699,WANDSWORTH BOROUGH COUNCIL,Children and Education,"£51,831.13"
5201131800,RINGWAY JACOBS LIMITED,Public Realm,"£51,436.00"
1900797084,AGILISYS LIMITED,People and Recruitment,"£51,084.00"
1900797395,LONDON BOROUGH OF CAMDEN,Children and Education,"£48,819.00"
5201130810,RUSKIN PRIVATE HIRE LTD,Travel,"£48,789.67"
5201132261,RINGWAY JACOBS LIMITED,Public Realm,"£48,074.96"
5201131063,WOODWARD LEWIS LLP,People and Recruitment,"£48,000.00"
1900797460,HOMES FOR HARINGEY LIMITED,"Construction, Property and Fac Man","£47,747.65"
5201131727,RINGWAY JACOBS LIMITED,Public Realm,"£46,785.84"
1900797122,CIVICA UK LTD,IT and Telecoms,"£45,301.23"
8001697944,TWINGLOBE CARE HOMES LTD,Temporary Accommodation,"£44,082.86"
5201131735,RINGWAY JACOBS LIMITED,Public Realm,"£42,768.09"
5201130811,STAR CARS LTD,Travel,"£38,711.39"
5201131260,VOLKERHIGHWAYS LTD,Public Realm,"£38,618.46"
5201130918,STAR CARS LTD,Travel,"£37,657.11"
5201131734,RINGWAY JACOBS LIMITED,Public Realm,"£37,235.21"
1900798036,PLEXUS CLIENT ACCOUNT,Finance,"£37,000.00"
1900797751,THE WHITTINGTON HOSPITAL NHS TRUST,Children and Education,"£36,763.00"
5201131718,RINGWAY JACOBS LIMITED,Public Realm,"£35,775.04"
5201132258,RINGWAY JACOBS LIMITED,Public Realm,"£34,371.92"
5201131721,RINGWAY JACOBS LIMITED,Public Realm,"£33,974.25"
1900798128,LOVELL PARTNERSHIPS LTD,"Construction, Property and Fac Man","£33,334.09"
