Transaction,Vendor,Category,Amount
1900776280,HOMES FOR HARINGEY LIMITED,ALMO Management Fee,"£3,397,750.00"
5201099233,VEOLIA ES (UK) LTD,Public Realm,"£1,396,215.12"
5201101306,VEOLIA ES (UK) LTD,Public Realm,"£1,396,215.12"
5201100443,BALFOUR BEATTY CONSTRUCTION SCOTTIS,"Construction, Property and Fac Man","£663,883.59"
1900777398,HAYS SPECIALIST RECRUITMENT,Recruitment and People,"£577,379.14"
1900775931,APOLLO PROPERTY SERVICES GROUP LTD,"Construction, Property and Fac Man","£493,745.33"
1900775368,HAYS SPECIALIST RECRUITMENT,Recruitment and People,"£493,326.59"
1900776933,MULALLEY AND CO LIMITED,"Construction, Property and Fac Man","£363,782.40"
1900775932,APOLLO PROPERTY SERVICES GROUP LTD,"Construction, Property and Fac Man","£312,412.96"
1900776527,OAKRAY LTD,"Construction, Property and Fac Man","£306,894.32"
1900777023,RM EDUCATION LTD,IT and Telecoms,"£241,499.91"
1900776426,LOVELL PARTNERSHIPS LTD,"Construction, Property and Fac Man","£234,022.91"
1900776525,LOVELL PARTNERSHIPS LTD,"Construction, Property and Fac Man","£231,519.77"
1900776853,BRIDGE RENEWAL TRUST,"Construction, Property and Fac Man","£213,750.06"
1900776075,RIDGE AND PARTNERS LLP,"Construction, Property and Fac Man","£191,634.00"
1900776836,HEARTLANDS HIGH SCHOOL,General,"£183,000.00"
5201101438,GREATER LONDON AUTHORITY,Public Realm,"£177,728.73"
5201100673,MULALLEY AND CO LIMITED,"Construction, Property and Fac Man","£175,466.00"
1900770377,ACCOUNTANT GEN OF THE SUPREME COURT,"Construction, Property and Fac Man","£175,000.00"
1900776524,LOVELL PARTNERSHIPS LTD,"Construction, Property and Fac Man","£154,638.22"
1900775933,APOLLO PROPERTY SERVICES GROUP LTD,"Construction, Property and Fac Man","£144,564.42"
1900777037,OTIS LIMITED,"Construction, Property and Fac Man","£139,833.80"
1900775934,APOLLO PROPERTY SERVICES GROUP LTD,"Construction, Property and Fac Man","£139,436.03"
1900776523,LOVELL PARTNERSHIPS LTD,"Construction, Property and Fac Man","£132,140.23"
