Transaction,Vendor,Category,Amount
1900774247,HOMES FOR HARINGEY LIMITED,ALMO Management Fee,"£3,397,750.00"
1900774248,HOMES FOR HARINGEY LIMITED,ALMO Management Fee,"£3,397,750.00"
5201098435,SAP ( UK ) LTD,IT and Telecoms,"£599,279.00"
1900772901,APOLLO PROPERTY SERVICES GROUP LTD,"Construction, Property and Fac Man","£517,147.15"
5201097666,BALFOUR BEATTY CONSTRUCTION SCOTTIS,"Construction, Property and Fac Man","£444,983.80"
1900775060,HAYS SPECIALIST RECRUITMENT,Recruitment and People,"£428,725.29"
1900774021,HAYS SPECIALIST RECRUITMENT,Recruitment and People,"£349,036.89"
1900773924,LOVELL PARTNERSHIPS LTD,"Construction, Property and Fac Man","£306,136.43"
5201098439,SAP ( UK ) LTD,IT and Telecoms,"£299,067.00"
1900772879,APOLLO PROPERTY SERVICES GROUP LTD,"Construction, Property and Fac Man","£295,629.51"
1900773918,LOVELL PARTNERSHIPS LTD,"Construction, Property and Fac Man","£288,402.51"
1900774967,OAKRAY LTD,"Construction, Property and Fac Man","£270,419.05"
1900774638,RM EDUCATION LTD,IT and Telecoms,"£241,891.26"
1900773645,LONDON BOROUGH OF ENFIELD,Children and Education,"£233,027.00"
1900773923,LOVELL PARTNERSHIPS LTD,"Construction, Property and Fac Man","£221,918.92"
1900773728,LONDON BOROUGH OF WALTHAM FOREST,Children and Education,"£214,379.60"
1900772903,APOLLO PROPERTY SERVICES GROUP LTD,"Construction, Property and Fac Man","£197,593.42"
1900774079,ACCOUNTANT GENERAL OF THE SENIOR CO,"Construction, Property and Fac Man","£175,000.00"
5201097460,CRIME REDUCTION INITIATIVES,General,"£155,797.24"
5201098436,SAP ( UK ) LTD,IT and Telecoms,"£131,841.00"
5201099059,INSIGHT DIRECT (UK) LTD,IT and Telecoms,"£130,849.00"
1900772905,APOLLO PROPERTY SERVICES GROUP LTD,"Construction, Property and Fac Man","£123,603.21"
1900774290,HOMES FOR HARINGEY LIMITED,"Construction, Property and Fac Man","£118,086.62"
1900774968,OAKRAY LTD,"Construction, Property and Fac Man","£109,513.71"
5201097619,MEDEQUIP ASSISTIVE TECH. LTD,Social Care,"£96,524.65"
