Transaction,Vendor,Category,  Amount  
1900788032,HOMES FOR HARINGEY LIMITED,ALMO Management Fee,"£3,248,833"
5201114814,MULALLEY AND CO LIMITED,"Construction, Property and Fac Man","£2,068,323"
5201117296,VEOLIA ES (UK) LTD,Public Realm,"£1,416,212"
1900788298,HAYS SPECIALIST RECRUITMENT,People and Recruitment,"£555,911"
1900787517,HAYS SPECIALIST RECRUITMENT,People and Recruitment,"£525,299"
1900787944,HAYS SPECIALIST RECRUITMENT,People and Recruitment,"£503,173"
1900787019,HARINGEY SCHOOLS SERVICES LIMITED,Children and Education,"£353,430"
1900788395,LOVELL PARTNERSHIPS LTD,"Construction, Property and Fac Man","£293,735"
5201116296,CGI IT UK LIMITED,IT and Telecoms,"£267,000"
5201115477,DIAMOND BUILD PLC,"Construction, Property and Fac Man","£263,420"
1900788391,LOVELL PARTNERSHIPS LTD,"Construction, Property and Fac Man","£243,807"
5201114815,MULALLEY AND CO LIMITED,"Construction, Property and Fac Man","£203,318"
1900787938,APOLLO PROPERTY SERVICES GROUP LTD,"Construction, Property and Fac Man","£159,433"
1900788393,LOVELL PARTNERSHIPS LTD,"Construction, Property and Fac Man","£151,904"
5201116388,BALFOUR BEATTY CONSTRUCTION SCOTTIS,"Construction, Property and Fac Man","£142,037"
1900788394,LOVELL PARTNERSHIPS LTD,"Construction, Property and Fac Man","£128,818"
1900787501,HOMES FOR HARINGEY LIMITED,"Construction, Property and Fac Man","£122,412"
1900788190,APOLLO PROPERTY SERVICES GROUP LTD,"Construction, Property and Fac Man","£116,905"
5201117297,VEOLIA ES (UK) LTD,Public Realm,"£107,706"
5201116466,BLENHEIM CDP,Social Care,"£107,584"
1900788191,APEX LIFT & ESCALATOR ENGINEERS LTD,"Construction, Property and Fac Man","£103,950"
5201116387,TFL SURFACE TRANSPORT,Public Realm,"£92,410"
1900787129,TADLEY HORIZON PRIORY,Children and Education,"£88,181"
1900788392,LOVELL PARTNERSHIPS LTD,"Construction, Property and Fac Man","£84,585"
5201114965,EUROPA FACILITIES MANAGEMENT LTD,"Construction, Property and Fac Man","£79,897"
5201117132,LENGARD LTD,"Construction, Property and Fac Man","£77,192"
1900787218,OTIS LIMITED,"Construction, Property and Fac Man","£76,884"
5201116389,ON TIME PARKING SOLUTIONS,Public Realm,"£76,179"
5201116169,BALFOUR BEATTY WORKPLACE LTD,General,"£73,836"
5201114966,BALFOUR BEATTY WORKPLACE LTD,General,"£73,836"
5201116390,MEDEQUIP ASSISTIVE TECH. LTD,Social Care,"£72,187"
1900787141,COXLEASE SCHOOL PRIORY,Children and Education,"£70,000"
1900786908,THE HESLEY GROUP,Children and Education,"£64,451"
1900787492,HOMES FOR HARINGEY LIMITED,"Construction, Property and Fac Man","£63,189"
1900787144,COXLEASE SCHOOL PRIORY,Children and Education,"£60,000"
1900787151,APEX LIFT & ESCALATOR ENGINEERS LTD,"Construction, Property and Fac Man","£57,297"
1900786626,LOGICALIS UK LTD,IT and Telecoms,"£55,654"
5201116465,BLENHEIM CDP,Social Care,"£55,074"
1900787440,APOLLO PROPERTY SERVICES GROUP LTD,"Construction, Property and Fac Man","£54,000"
5201116163,RUSKIN PRIVATE HIRE LTD,Travel,"£50,816"
5201115254,MULALLEY AND CO LIMITED,"Construction, Property and Fac Man","£48,556"
1900788106,CIVICA UK LTD,IT and Telecoms,"£47,453"
1900786925,CIVICA UK LTD,IT and Telecoms,"£47,453"
5201115671,WESTMINSTER DRUG PROJECT LTD,General,"£45,904"
1900787219,OTIS LIMITED,"Construction, Property and Fac Man","£44,686"
5201116158,STAR CARS LTD,Travel,"£44,685"
5201116814,BUBIC,Social Care,"£41,488"
1900788396,LOVELL PARTNERSHIPS LTD,"Construction, Property and Fac Man","£41,026"
1900786513,PRP ARCHITECTS LTD,People and Recruitment,"£39,800"
1900787439,APOLLO PROPERTY SERVICES GROUP LTD,"Construction, Property and Fac Man","£39,570"
5201115672,WESTMINSTER DRUG PROJECT LTD,General,"£37,970"
1900788192,APEX LIFT & ESCALATOR ENGINEERS LTD,"Construction, Property and Fac Man","£37,834"
5201115525,EQUINOX,Social Care,"£37,635"
1900787940,APOLLO PROPERTY SERVICES GROUP LTD,"Construction, Property and Fac Man","£37,599"
1900787009,WHITTINGTON HOSPITAL NHS TRUST,Children and Education,"£36,764"
1900788390,THE WHITTINGTON HOSPITAL NHS TRUST,Children and Education,"£36,763"
1900787496,AGILISYS PROFESSIONAL SERVICES,People and Recruitment,"£36,064"
5201116165,B & L COACHES,Travel,"£33,060"
1900787950,IMPOWER CONSULTING LTD,People and Recruitment,"£32,800"
5201115534,CIVICA UK LTD,IT and Telecoms,"£32,767"
1900787013,JOHN ROWAN AND PARTNERS LLP,"Construction, Property and Fac Man","£32,400"
5201116903,VOLKERHIGHWAYS LTD,Public Realm,"£31,403"
5201115661,VOLKERHIGHWAYS LTD,Public Realm,"£31,403"
5201115660,VOLKERHIGHWAYS LTD,Public Realm,"£31,403"
5201116897,AMBITIOUS ABOUT AUTISM,Children and Education,"£31,318"
1900786787,REDACTED PERSONAL DATA,Temporary Accommodation,"£30,000"
1900787168,PLEXUS LAW CLIENT ACCOUNT,Finance,"£30,000"
1900787476,LC MITSIOU AND SON LIMITED,Temporary Accommodation,"£29,858"
1900787076,SODEXO LIMITED,Food and Drink,"£29,581"
1900787162,THE WHITTINGTON HOSPITAL NHS TRUST,People and Recruitment,"£29,569"
5201115422,HARINGEY LAW CENTRE,Children and Education,"£29,475"
1900786729,LONDON AND QUADRANT HOUSING,Temporary Accommodation,"£27,414"
1900786727,LONDON AND QUADRANT HOUSING,Temporary Accommodation,"£27,414"
1900786730,LONDON AND QUADRANT HOUSING,Temporary Accommodation,"£27,414"
8001526062,SUNCARE RECOVERY LTD,Temporary Accommodation,"£27,330"
1900788661,CIPFA BUSINESS LIMITED,People and Recruitment,"£27,255"
5201116898,SENAD LIMITED,Children and Education,"£26,981"
1900786725,LONDON AND QUADRANT HOUSING,Temporary Accommodation,"£26,447"
5201114964,EUROPA FACILITIES MANAGEMENT LTD,"Construction, Property and Fac Man","£24,846"
