Transaction,Vendor,Category,  Amount  
1900786321, HOMES FOR HARINGEY LIMITED ,ALMO Management Fee,"£3,248,833.00"
5201112181, TFL SURFACE TRANSPORT , Public Realm ,"£3,200,000.00"
5201114480, VEOLIA ES (UK) LTD , Public Realm ,"£1,416,212.21"
5201112182, TFL SURFACE TRANSPORT , Public Realm ,"£1,141,900.00"
1900785091, HAYS SPECIALIST RECRUITMENT , People and Recruitment ,"£476,997.26"
1900785141, HOMES FOR HARINGEY LIMITED ," Construction, Property and Fac Man ","£372,037.50"
1900785276, HARINGEY SCHOOLS SERVICES LIMITED , Children and Education ,"£353,429.85"
1900786525, HOMES FOR HARINGEY LIMITED ," Construction, Property and Fac Man ","£336,054.40"
1900785284, LOVELL PARTNERSHIPS LTD ," Construction, Property and Fac Man ","£292,804.90"
5201113130, DIAMOND BUILD PLC ," Construction, Property and Fac Man ","£263,967.60"
5201114533, TFL SURFACE TRANSPORT , Public Realm ,"£250,000.00"
1900785573, RM EDUCATION LTD , IT and Telecoms ,"£242,288.81"
5201112248, CITY OF LONDON , Public Realm ,"£239,724.00"
1900784767, THE WHITTINGTON HOSPITAL NHS TRUST , People and Recruitment ,"£224,348.64"
8001519469, VIRIDIAN HOUSING , Temporary Accommodation ,"£216,124.66"
1900785575, RM EDUCATION LTD , IT and Telecoms ,"£202,153.58"
5201113354, VOLKERHIGHWAYS LTD , Public Realm ,"£177,039.50"
5201113356, BALFOUR BEATTY CONSTRUCTION SCOTTIS ," Construction, Property and Fac Man ","£150,080.72"
5201113533, CIVICA UK LTD , IT and Telecoms ,"£133,440.00"
1900786279, LOVELL PARTNERSHIPS LTD ," Construction, Property and Fac Man ","£131,286.91"
1900786408, HOMES FOR HARINGEY LIMITED ," Construction, Property and Fac Man ","£127,200.00"
1900785013, APEX LIFT & ESCALATOR ENGINEERS LTD ," Construction, Property and Fac Man ","£126,331.51"
1900786276, HOMES FOR HARINGEY LIMITED ," Construction, Property and Fac Man ","£124,752.62"
1900786275, HOMES FOR HARINGEY LIMITED , People and Recruitment ,"£123,484.97"
1900786189, BERNIE GRANT ARTS CENTRE , General ,"£120,000.00"
1900784772, THE WHITTINGTON HOSPITAL NHS TRUST , People and Recruitment ,"£112,000.00"
5201113713, MEDEQUIP ASSISTIVE TECH. LTD , Social care ,"£106,962.90"
1900785567, APOLLO PROPERTY SERVICES GROUP LTD ," Construction, Property and Fac Man ","£97,752.28"
5201112233, TFL SURFACE TRANSPORT , Public Realm ,"£92,409.52"
5201114536, LENGARD LTD ," Construction, Property and Fac Man ","£92,144.92"
5201113973, CGI IT UK LIMITED , IT and Telecoms ,"£89,000.00"
1900786512, OVE ARUP & PARTNERS LTD , Food and Drink ,"£78,559.88"
200335584, EPIC TRUST - SWALLOW HOUSE , Social care ,"£76,923.00"
200336087, EPIC TRUST - SWALLOW HOUSE , Social care ,"£76,923.00"
5201113818, ON TIME PARKING SOLUTIONS , Public Realm ,"£75,568.92"
5201113816, ON TIME PARKING SOLUTIONS , Public Realm ,"£75,360.52"
5201113353, FUSION LIFESTYLE , General ,"£73,977.00"
5201112473, BALFOUR BEATTY WORKPLACE LTD , General ,"£73,836.36"
5201114482, VEOLIA ES (UK) LTD , Public Realm ,"£73,586.93"
200335587, ONE HOUSING GROUP LTD , Social care ,"£72,876.71"
200336090, ONE HOUSING GROUP LTD , Social care ,"£72,876.71"
5201114481, VEOLIA ES (UK) LTD , Public Realm ,"£69,299.75"
5201113028, GRANT THORNTON UK LLP , Finance ,"£68,175.00"
5201113351, FUSION LIFESTYLE , General ,"£64,641.00"
5201113352, FUSION LIFESTYLE , General ,"£64,171.00"
200336117, ONE HOUSING GROUP LTD , Social care ,"£64,167.35"
1900786278, LOVELL PARTNERSHIPS LTD ," Construction, Property and Fac Man ","£56,860.92"
5201112377, TRUSTMARQUE SOLUTIONS LIMITED , IT and Telecoms ,"£56,345.11"
5201112778, PHOENIX SOFTWARE LTD , IT and Telecoms ,"£55,792.55"
1900785085, LOGICALIS UK LTD , IT and Telecoms ,"£55,654.00"
200335599, EPIC TRUST - SWALLOW HOUSE , Social care ,"£55,567.36"
200336102, EPIC TRUST - SWALLOW HOUSE , Social care ,"£55,567.36"
200335598, METROPOLITAN SUPPORT TRUST , Social care ,"£53,467.84"
200336101, METROPOLITAN SUPPORT TRUST , Social care ,"£53,467.84"
1900785516, HARINGEY CITIZEN'S ADVICE BUREAUX , Social care ,"£50,000.00"
1900786437, BERNIE GRANT CENTRE PARTNERSHIP LTD , Social care ,"£50,000.00"
5201114534, TFL SURFACE TRANSPORT , Public Realm ,"£50,000.00"
5201114221, TFL SURFACE TRANSPORT , Public Realm ,"£49,041.42"
1900785293, KENT COUNTY COUNCIL , Children and Education ,"£48,804.96"
200335600, ST MUNGOS HOUSING ASSOCIATION , Social care ,"£48,307.44"
200336103, ST MUNGOS HOUSING ASSOCIATION , Social care ,"£48,307.44"
5201112848, EUROPA FACILITIES MANAGEMENT LTD ," Construction, Property and Fac Man ","£44,816.06"
5201113355, RUSKIN PRIVATE HIRE LTD , Travel ,"£43,773.34"
1900785014, APEX LIFT & ESCALATOR ENGINEERS LTD ," Construction, Property and Fac Man ","£41,818.90"
1900785568, APOLLO PROPERTY SERVICES GROUP LTD ," Construction, Property and Fac Man ","£39,367.72"
5201113331, STAR CARS LTD , Travel ,"£39,004.04"
