Transaction,Vendor,Category,Amount
1900778433,HOMES FOR HARINGEY LIMITED,ALMO Management Fee,"£3,397,750.00"
5201102548,TRANSPORT TRADING LTD,Travel,"£3,252,080.00"
5201103977,VEOLIA ES (UK) LTD,Public Realm,"£1,396,215.12"
5201102444,TFL SURFACE TRANSPORT,Public Realm,"£992,562.00"
1900778845,APOLLO PROPERTY SERVICES GROUP LTD,"Construction, Property and Fac Man","£851,499.62"
1900778978,APOLLO PROPERTY SERVICES GROUP LTD,"Construction, Property and Fac Man","£794,417.38"
1900778849,APOLLO PROPERTY SERVICES GROUP LTD,"Construction, Property and Fac Man","£781,530.41"
1900778634,APOLLO PROPERTY SERVICES GROUP LTD,"Construction, Property and Fac Man","£717,779.45"
5201103792,BALFOUR BEATTY CONSTRUCTION SCOTTIS,"Construction, Property and Fac Man","£695,957.24"
1900778847,APOLLO PROPERTY SERVICES GROUP LTD,"Construction, Property and Fac Man","£499,657.36"
1900778958,LOVELL PARTNERSHIPS LTD,"Construction, Property and Fac Man","£481,799.99"
1900778997,HAYS SPECIALIST RECRUITMENT,Recruitment and People,"£471,507.81"
1900778735,LOVELL PARTNERSHIPS LTD,"Construction, Property and Fac Man","£467,054.86"
1900778850,APOLLO PROPERTY SERVICES GROUP LTD,"Construction, Property and Fac Man","£454,937.17"
1900777738,HAYS SPECIALIST RECRUITMENT,Recruitment and People,"£436,536.56"
1900778807,LOVELL PARTNERSHIPS LTD,"Construction, Property and Fac Man","£369,004.26"
1900779580,HARINGEY SCHOOLS SERVICES LIMITED,Children and Education,"£353,429.85"
1900778984,LOVELL PARTNERSHIPS LTD,"Construction, Property and Fac Man","£318,019.80"
1900778641,APOLLO PROPERTY SERVICES GROUP LTD,"Construction, Property and Fac Man","£313,894.85"
1900778644,APOLLO PROPERTY SERVICES GROUP LTD,"Construction, Property and Fac Man","£299,409.52"
1900778860,OAKRAY LTD,"Construction, Property and Fac Man","£298,378.42"
1900780222,BRITISH GAS TRADING LIMITED,Energy and Utilities,"£283,151.65"
1900778650,APOLLO PROPERTY SERVICES GROUP LTD,"Construction, Property and Fac Man","£280,000.00"
1900778963,LOVELL PARTNERSHIPS LTD,"Construction, Property and Fac Man","£248,055.45"
