Transaction,Vendor,Category,  Amount  
1900784234,HOMES FOR HARINGEY LIMITED,ALMO Management Fee,"£3,248,833.00"
1900783754,HOMES FOR HARINGEY LIMITED,ALMO Management Fee,"£3,248,833.00"
5201111440,TRANSPORT TRADING LTD,Travel,"£3,199,472.00"
5201111000,VEOLIA ES (UK) LTD,Public Realm,"£1,416,212.21"
5201111001,VEOLIA ES (UK) LTD,Public Realm,"£1,416,212.21"
1900783748,HOMES FOR HARINGEY LIMITED,"Construction, Property and Fac Man","£1,327,255.88"
1900783753,HOMES FOR HARINGEY LIMITED,"Construction, Property and Fac Man","£673,297.57"
1900783752,HOMES FOR HARINGEY LIMITED,"Construction, Property and Fac Man","£519,256.56"
1900782653,HAYS SPECIALIST RECRUITMENT,People and Recruitment,"£497,083.40"
1900784333,HAYS SPECIALIST RECRUITMENT,People and Recruitment,"£495,211.95"
1900784332,HAYS SPECIALIST RECRUITMENT,People and Recruitment,"£494,546.93"
1900783750,HOMES FOR HARINGEY LIMITED,"Construction, Property and Fac Man","£404,562.94"
5201110246,BALFOUR BEATTY CONSTRUCTION SCOTTIS,"Construction, Property and Fac Man","£354,620.99"
1900783258,HARINGEY SCHOOLS SERVICES LIMITED,Children and Education,"£353,429.85"
5201109891,NORTHGATE INFORMATION SOLUTIONS,IT and Telecoms,"£291,588.00"
1900783491,RM EDUCATION LTD,IT and Telecoms,"£242,066.66"
1900782927,RM EDUCATION LTD,IT and Telecoms,"£241,515.01"
1900783062,BARNET ENFIELD+HAR M H NHS TRUST,People and Recruitment,"£220,000.00"
1900783749,HOMES FOR HARINGEY LIMITED,"Construction, Property and Fac Man","£194,963.76"
5201109606,CGI IT UK LIMITED,IT and Telecoms,"£184,129.00"
1900783179,VIRGIN MEDIA PAYMENTS LIMITED,IT and Telecoms,"£151,752.00"
1900784466,STACE LLP,"Construction, Property and Fac Man","£113,053.51"
5201109021,FUSION LIFESTYLE,General,"£112,675.00"
1900783860,HOMES FOR HARINGEY LIMITED,Legal,"£98,373.84"
5201106110,FUSION LIFESTYLE,General,"£97,629.67"
5201110830,LOGICALIS UK LTD,IT and Telecoms,"£96,263.84"
1900783831,HOMES FOR HARINGEY LIMITED,"Construction, Property and Fac Man","£92,944.92"
5201110925,MEDEQUIP ASSISTIVE TECH. LTD,Social care,"£92,197.78"
1900782929,LONDON BOROUGH OF HACKNEY,Communication,"£90,000.00"
5201111689,LENGARD LTD,"Construction, Property and Fac Man","£87,274.50"
5201109482,DIAMOND BUILD PLC,"Construction, Property and Fac Man","£82,929.32"
1900783834,HOMES FOR HARINGEY LIMITED,"Construction, Property and Fac Man","£80,972.64"
200334688,EPIC TRUST - SWALLOW HOUSE,Social care,"£76,923.00"
5201109249,ON TIME PARKING SOLUTIONS,Public Realm,"£76,792.29"
1900783693,NCYPE,Children and Education,"£73,614.33"
1900783314,BRIDGE RENEWAL TRUST,"Construction, Property and Fac Man","£71,250.00"
5201110429,AGE UK HARINGEY,Social care,"£70,000.00"
200334702,METROPOLITAN SUPPORT TRUST,Social care,"£68,901.48"
5201111681,AMBER CONSTRUCTION SERVICES LTD,"Construction, Property and Fac Man","£68,654.88"
5201111497,EUROPA FACILITIES MANAGEMENT LTD,"Construction, Property and Fac Man","£68,077.60"
1900783747,HOMES FOR HARINGEY LIMITED,"Construction, Property and Fac Man","£67,066.24"
1900783805,NICHOLAS MORRIS SOLICITORS,General,"£62,259.05"
1900782747,CUNNINGHAM LINDSEY UK CLIENT ACCOUN,Finance,"£60,000.00"
8001462941,CONTINUUM GROUP & EDUCATION GROUP L,Temporary Accommodation,"£59,400.00"
1900783827,HOMES FOR HARINGEY LIMITED,"Construction, Property and Fac Man","£55,845.95"
1900782604,CITY OF LONDON,Public Realm,"£54,119.50"
1900784463,LONDON BOROUGH OF REDBRIDGE,Children and Education,"£54,049.93"
5201109614,TRUSTMARQUE SOLUTIONS LIMITED,IT and Telecoms,"£53,331.20"
1900783522,TUNSTALL HEALTHCARE(UK) LTD,General,"£49,022.50"
200334704,ST MUNGOS HOUSING ASSOCIATION,Social care,"£48,296.06"
5201109242,LONDON BOROUGH OF WALTHAM FOREST,People and Recruitment,"£48,000.00"
1900783139,CIVICA UK LTD,IT and Telecoms,"£47,453.14"
1900784193,CIVICA UK LTD,IT and Telecoms,"£47,453.14"
1900783692,MACINTYRE CARE,Children and Education,"£45,873.96"
1900783813,PLEXUS CLIENT ACCOUNT,Finance,"£45,000.00"
5201108911,BUBIC,Social care,"£41,487.50"
5201110827,TRUSTMARQUE SOLUTIONS LIMITED,IT and Telecoms,"£39,950.00"
1900783650,LC MITSIOU AND SON LIMITED,Temporary Accommodation,"£39,851.14"
1900783746,HOMES FOR HARINGEY LIMITED,"Construction, Property and Fac Man","£39,740.94"
1900784262,FIRST HOUSING (MANAGEMENT) LTD,Temporary Accommodation,"£39,555.90"
5201111429,REED IN PARTNERSHIP LIMITED,General,"£39,288.87"
1900784216,HOMES FOR HARINGEY LIMITED,"Construction, Property and Fac Man","£38,773.20"
5201111495,EUROPA FACILITIES MANAGEMENT LTD,"Construction, Property and Fac Man","£37,790.81"
200334713,ST MUNGOS HOUSING ASSOCIATION,Social care,"£37,564.19"
5201111383,JONES LANG LASALLE LIMITED,People and Recruitment,"£37,500.00"
5201111731,FAMILY ACTION,Children and Education,"£37,432.00"
5201109737,TRUSTMARQUE SOLUTIONS LIMITED,IT and Telecoms,"£36,810.00"
1900783835,THE WHITTINGTON HOSPITAL NHS TRUST,Children and Education,"£36,763.00"
1900782902,WHITTINGTON HOSPITAL NHS TRUST,Children and Education,"£36,763.00"
1900783662,JOHN ROWAN AND PARTNERS LLP,"Construction, Property and Fac Man","£36,610.00"
200334679,ST MUNGOS HOUSING ASSOCIATION,Social care,"£35,777.08"
5201109610,PARAGON GROUP UK LIMITED,Communication,"£31,933.17"
5201111197,RUSKIN PRIVATE HIRE LTD,Travel,"£31,414.53"
1900783141,SODEXO LIMITED,Food and Drink,"£31,308.48"
5201110497,2CQR LTD,IT and Telecoms,"£29,893.50"
1900783298,THE WHITTINGTON HOSPITAL NHS TRUST,People and Recruitment,"£29,569.00"
1900783880,THE WHITTINGTON HOSPITAL NHS TRUST,People and Recruitment,"£29,569.00"
5201110909,VOLKERHIGHWAYS LTD,Public Realm,"£28,431.98"
1900783817,PLEXUS LAW (OFFICE ACCOUNT),Finance,"£28,255.00"
200334703,EPIC TRUST - SWALLOW HOUSE,Social care,"£27,446.94"
5201110102,LONDON AND QUADRANT HOUSING,Temporary Accommodation,"£27,413.92"
5201109732,LONDON AND QUADRANT HOUSING,Temporary Accommodation,"£27,413.92"
5201109483,DIAMOND BUILD PLC,"Construction, Property and Fac Man","£27,267.00"
5201110243,STAR CARS LTD,Travel,"£27,083.35"
5201111796,SIEMENS PLC,"Construction, Property and Fac Man","£26,899.65"
5201109598,SIEMENS PLC,"Construction, Property and Fac Man","£26,899.65"
5201111492,SPECIALIST COMPUTER CENTRES PLC,IT and Telecoms,"£26,543.37"
5201110938,TOTTENHAM HOTSPUR FOUNDATION,Sport and Leisure,"£26,500.00"
8001480729,NEWSTEAD NURSING HOME,General,"£25,838.90"
5201108922,CITY OF LONDON,Public Realm,"£25,829.00"
5201107251,IMPOWER CONSULTING LTD,People and Recruitment,"£25,591.24"
200334691,ONE HOUSING GROUP LTD,Social care,"£24,197.19"
1900783828,HOMES FOR HARINGEY LIMITED,"Construction, Property and Fac Man","£23,790.74"
1900783644,AMBITIOUS ABOUT AUTISM,Children and Education,"£23,711.41"
1900783839,CROYDON COUNCIL,Finance,"£23,506.00"
1900783296,THE BRANDON CENTRE,People and Recruitment,"£23,101.67"
1900783297,THE BRANDON CENTRE,People and Recruitment,"£23,101.66"
5201111493,TRUSTMARQUE SOLUTIONS LIMITED,IT and Telecoms,"£22,890.50"
1900783890,JJ FOOD SERVICE LTD,Food and Drink,"£22,831.75"
1900783830,ORANGE PCS LTD,IT and Telecoms,"£22,340.56"
5201111496,EUROPA FACILITIES MANAGEMENT LTD,"Construction, Property and Fac Man","£22,174.33"
8001495760,CONTINUUM GROUP & EDUCATION GROUP L,Temporary Accommodation,"£21,921.42"
1900783151,JJ FOOD SERVICE LTD,Food and Drink,"£21,889.99"
1900784284,JJ FOOD SERVICE LTD,Food and Drink,"£21,577.84"
8001485104,CARE UK COMMUNITY PARTNERSHIPS LTD,Temporary Accommodation,"£21,141.73"
5201110428,AGE UK HARINGEY,Social care,"£21,000.00"
1900783745,HOMES FOR HARINGEY LIMITED,"Construction, Property and Fac Man","£20,501.35"
1900782770,HOMES FOR HARINGEY LIMITED,"Construction, Property and Fac Man","£20,498.50"
200334673,ONE HOUSING GROUP LTD,Social care,"£20,378.55"
8001477434,CARETECH COMMUNITY SERVICES LTD,Temporary Accommodation,"£20,196.43"
1900783422,JJ FOOD SERVICE LTD,Food and Drink,"£20,184.40"
1900784266,FP TELESET,General,"£20,000.00"
1900783140,CITIBANK NA LONDON,Social care,"£20,000.00"
8001495742,YOUNG OPTIONS COLLEGE LTD,Temporary Accommodation,"£19,906.42"
5201110244,B & L COACHES,Travel,"£19,776.10"
8001495751,CONTINUUM GROUP & EDUCATION GROUP L,Temporary Accommodation,"£19,729.28"
8001495743,YOUNG OPTIONS COLLEGE LTD,Temporary Accommodation,"£19,707.14"
1900783331,DAIRY CREST LTD,Food and Drink,"£19,445.70"
1900783790,STEP BY STEP,Children and Education,"£19,299.41"
1900781668,BOWDEN HOUSE SCHOOL,Children and Education,"£19,050.00"
1900782755,HOMES FOR HARINGEY LIMITED,"Construction, Property and Fac Man","£18,688.37"
8001495764,KEYS 16 PLUS INDEPENDENT LIVING SER,Temporary Accommodation,"£18,600.00"
5201111730,QUAKER SOCIAL ACTION,Children and Education,"£18,239.00"
1900784236,HOMES FOR HARINGEY LIMITED,"Construction, Property and Fac Man","£18,040.92"
1900783757,FIRST HOUSING (MANAGEMENT) LTD,Temporary Accommodation,"£17,719.20"
1900782645,FUSION LIFESTYLE,"Construction, Property and Fac Man","£17,372.70"
8001479175,ASHNESS CARE LTD,Temporary Accommodation,"£17,089.82"
1900782835,LAKEHOUSE CONTRACTS LTD,"Construction, Property and Fac Man","£16,641.18"
1900783333,HAYS SPECIALIST RECRUITMENT,People and Recruitment,"£16,617.00"
1900783332,HAYS SPECIALIST RECRUITMENT,People and Recruitment,"£16,617.00"
1900782764,MPLC,Sport and Leisure,"£16,594.15"
5201108919,CIVICA UK LTD,People and Recruitment,"£16,526.31"
1900783349,PURDY CONTRACTS LTD,"Construction, Property and Fac Man","£16,475.99"
200334711,HAIL LTD,Social care,"£16,204.07"
5201110509,HUGH PEARL ( LAND DRAINAGE) LTD,"Construction, Property and Fac Man","£16,199.77"
5201110883,LEXISNEXIS VISUALFILES,IT and Telecoms,"£16,109.34"
1900783615,LONDON GRID FOR LEARNING TRUST,IT and Telecoms,"£16,087.00"
5201108910,VOLKERHIGHWAYS LTD,Public Realm,"£15,955.14"
8001495755,CASTLE HOMES CARE LIMITED,Temporary Accommodation,"£15,942.86"
5201110954,CITY SUBURBAN TREE SURGEONS LTD,Public Realm,"£15,915.90"
5201111795,BRITISH TELECOMMUNICATIONS PLC,"Construction, Property and Fac Man","£15,865.65"
8001489962,ST JOHN'S SCHOOL & COLLEGE,Children and Education,"£15,821.00"
5201110213,CIPFA BUSINESS LIMITED,Finance,"£15,640.00"
5201110574,STAR CARS LTD,Travel,"£15,443.40"
1900784217,HOMES FOR HARINGEY LIMITED,"Construction, Property and Fac Man","£15,423.96"
8001495759,WINSBEACH CHILDREN'S HOME,Temporary Accommodation,"£15,363.60"
8001495758,HILLCREST CARE SERVICES LTD,Temporary Accommodation,"£15,291.86"
1900783007,TROWERS & HAMLINS LLP,"Construction, Property and Fac Man","£15,257.30"
5201109613,PARAGON GROUP UK LIMITED,Communication,"£15,187.15"
1900783291,VAROSI ESTATES LIMITED,Temporary Accommodation,"£15,168.83"
1900784240,ABILITY HOTELS (CAMBRIDGE) LTD,Learning and Development,"£15,130.83"
1900783482,SAVILLS (UK) LIMITED,People and Recruitment,"£15,000.00"
1900784427,NATHANIEL LICHFIELD & PARTNER LIMIT,People and Recruitment,"£14,875.00"
1900782385,VAROSI ESTATES LIMITED,Temporary Accommodation,"£14,697.30"
1900784437,VAROSI ESTATES LIMITED,Temporary Accommodation,"£14,598.72"
8001495752,CASTLE HOMES CARE LIMITED,Temporary Accommodation,"£14,585.72"
1900783622,IRG ADVISORS LLP,People and Recruitment,"£14,437.50"
8001495745,HILLCREST CARE SERVICES LTD,Temporary Accommodation,"£14,406.09"
1900783838,HOMES FOR HARINGEY LIMITED,"Construction, Property and Fac Man","£14,264.75"
5201109828,NDL-METASCYBE LIMITED,IT and Telecoms,"£14,250.00"
5201110490,IRG ADVISORS LLP,People and Recruitment,"£14,175.00"
8001495744,CONTINUUM GROUP & EDUCATION GROUP L,Temporary Accommodation,"£14,171.42"
8001495746,CONTINUUM GROUP & EDUCATION GROUP L,Temporary Accommodation,"£14,171.42"
200334660,HARINGEY WOMENS FORUM,Social care,"£14,133.28"
5201110802,THE ENERGY SAVING TRUST LIMITED,People and Recruitment,"£13,947.00"
5201111101,TRUSTMARQUE SOLUTIONS LIMITED,IT and Telecoms,"£13,798.08"
8001486482,ST JOHN'S SCHOOL & COLLEGE,Children and Education,"£13,739.00"
1900782383,VAROSI ESTATES LIMITED,Temporary Accommodation,"£13,705.84"
1900783287,VAROSI ESTATES LIMITED,Temporary Accommodation,"£13,635.00"
1900783288,VAROSI ESTATES LIMITED,Temporary Accommodation,"£13,559.70"
1900784433,VAROSI ESTATES LIMITED,Temporary Accommodation,"£13,534.29"
1900782388,VAROSI ESTATES LIMITED,Temporary Accommodation,"£13,399.35"
1900783289,VAROSI ESTATES LIMITED,Temporary Accommodation,"£13,315.68"
1900782389,VAROSI ESTATES LIMITED,Temporary Accommodation,"£13,300.50"
1900784456,WOODHOUSE ESTATES LTD,Temporary Accommodation,"£13,256.90"
1900782391,VAROSI ESTATES LIMITED,Temporary Accommodation,"£13,140.00"
1900784429,VAROSI ESTATES LIMITED,Temporary Accommodation,"£13,134.38"
1900784426,VAROSI ESTATES LIMITED,Temporary Accommodation,"£13,115.00"
1900783823,HOMES FOR HARINGEY LIMITED,"Construction, Property and Fac Man","£13,084.86"
1900783285,VAROSI ESTATES LIMITED,Temporary Accommodation,"£12,880.50"
1900784393,MOYGLEN CONSTRUCTION LTD,"Construction, Property and Fac Man","£12,770.82"
8001496714,CHOICE SUPPORT,Temporary Accommodation,"£12,635.37"
5201110426,TRUSTED TERMINAL LIMITED,IT and Telecoms,"£12,600.00"
8001485584,NAS SERVICES LTD,Social care,"£12,543.72"
1900782642,SIEMENS PLC,Energy and Utilities,"£12,540.00"
1900783261,CAMBIAN LEARNING DISABILITIES LTD,General,"£12,539.47"
1900783744,REDFERN TRAVEL LTD,Travel,"£12,504.15"
8001495761,RUSHCLIFFE CARE GROUP,Temporary Accommodation,"£12,400.00"
8001479293,CHOICE SUPPORT,Temporary Accommodation,"£12,228.74"
200334672,METROPOLITAN SUPPORT TRUST,Social care,"£12,196.62"
