Transaction,Vendor,Category,Amount
1900795549,HOMES FOR HARINGEY LIMITED,ALMO Management Fee,"£3,248,833.00"
1900795874,HOMES FOR HARINGEY LIMITED,ALMO Management Fee,"£3,248,833.00"
5201128993,TRANSPORT TRADING LTD,Travel,"£3,199,472.00"
5201129612,VEOLIA ES (UK) LTD,Public Realm,"£1,416,212.21"
1900797006,HOMES FOR HARINGEY LIMITED,"Construction, Property and Fac Man","£879,966.11"
1900796375,HAYS SPECIALIST RECRUITMENT,People and Recruitment,"£529,485.99"
1900795361,HAYS SPECIALIST RECRUITMENT,People and Recruitment,"£511,806.96"
5201129746,BALFOUR BEATTY CONSTRUCTION SCOTTIS,"Construction, Property and Fac Man","£456,715.13"
5201129749,BALFOUR BEATTY CONSTRUCTION SCOTTIS,"Construction, Property and Fac Man","£365,248.27"
5201127624,HARINGEY SCHOOLS SERVICES LIMITED,Children and Education,"£353,897.97"
1900795003,HARINGEY SCHOOLS SERVICES LIMITED,Children and Education,"£353,429.85"
5201127231,BALFOUR BEATTY CONSTRUCTION SCOTTIS,"Construction, Property and Fac Man","£294,413.75"
1900795853,LONDON BOROUGH OF HACKNEY,Children and Education,"£260,119.28"
5201127637,DIAMOND BUILD PLC,"Construction, Property and Fac Man","£254,125.14"
1900796480,LOVELL PARTNERSHIPS LTD,"Construction, Property and Fac Man","£236,136.94"
1900796118,FAMILY FUND TRADING LTD,General,"£233,232.50"
1900795664,HOMES FOR HARINGEY LIMITED,"Construction, Property and Fac Man","£231,609.18"
1900795659,HOMES FOR HARINGEY LIMITED,"Construction, Property and Fac Man","£226,381.39"
1900796127,KEEPMOAT REGENRATION (APOLLO) LTD,"Construction, Property and Fac Man","£217,253.55"
5201129748,BALFOUR BEATTY CONSTRUCTION SCOTTIS,"Construction, Property and Fac Man","£196,782.86"
5201128921,VOLKERHIGHWAYS LTD,Public Realm,"£192,883.39"
1900796119,LOVELL PARTNERSHIPS LTD,"Construction, Property and Fac Man","£186,768.52"
1900795726,BARNET ENFIELD+HAR M H NHS TRUST,Public Health,"£181,596.00"
1900796122,BARNET ENFIELD+HAR M H NHS TRUST,Public Health,"£181,596.00"
5201128920,VOLKERHIGHWAYS LTD,Public Realm,"£177,419.84"
1900774079,ACCOUNTANT GENERAL OF THE SENIOR CO,"Construction, Property and Fac Man","£175,000.00"
1900795025,PLEXUS CLIENT ACCOUNT,Finance,"£170,000.00"
5201129647,BTU (INSTALLATION & MAINTENANCE) LI,"Construction, Property and Fac Man","£162,216.32"
1900796373,LOVELL PARTNERSHIPS LTD,"Construction, Property and Fac Man","£148,517.58"
5201129797,WHITTINGTON HOSPITAL NHS TRUST,Public Health,"£145,261.00"
1900796479,LOVELL PARTNERSHIPS LTD,"Construction, Property and Fac Man","£130,098.51"
1900795665,HOMES FOR HARINGEY LIMITED,"Construction, Property and Fac Man","£129,745.04"
1900797005,HOMES FOR HARINGEY LIMITED,"Construction, Property and Fac Man","£124,452.47"
1900795344,ISLINGTON COUNCIL,Children and Education,"£124,028.64"
1900795666,HOMES FOR HARINGEY LIMITED,"Construction, Property and Fac Man","£120,471.20"
5201128904,RINGWAY JACOBS LIMITED,Public Realm,"£116,897.12"
1900796457,HOMES FOR HARINGEY LIMITED,"Construction, Property and Fac Man","£111,356.14"
200340836,METROPOLITAN SUPPORT TRUST,Social care,"£106,935.68"
5201126903,TAVISTOCK & PORTMAN NHS FT,Children and Education,"£99,793.00"
5201129646,RINGWAY JACOBS LIMITED,Public Realm,"£92,120.97"
1900795174,BARNET ENFIELD+HARINGEY MH TRUST,People and Recruitment,"£91,548.24"
1900795071,RM EDUCATION LTD,IT and Telecoms,"£89,553.51"
1900795347,COMPASS SECURITY SYSTEMS LTD,Energy and Utilities,"£89,496.83"
1900795910,PRIORY EDUCATION SERVICES LTD,Children and Education,"£88,180.77"
1900795186,CB RICHARD ELLIS LTD,"Construction, Property and Fac Man","£79,585.23"
200340835,ST MUNGOS HOUSING ASSOCIATION,Social care,"£75,128.38"
5201127248,VOLKERHIGHWAYS LTD,Public Realm,"£75,059.48"
5201128818,LONDON BOROUGH OF ISLINGTON,Public Health,"£71,818.00"
5201129801,BALFOUR BEATTY WORKPLACE LTD,General,"£71,466.15"
5201128830,BALFOUR BEATTY WORKPLACE LTD,General,"£71,140.10"
5201128527,HUGH PEARL ( LAND DRAINAGE) LTD,"Construction, Property and Fac Man","£71,085.92"
1900795855,COXLEASE SCHOOL PRIORY,Children and Education,"£70,000.00"
1900796374,LOVELL PARTNERSHIPS LTD,"Construction, Property and Fac Man","£65,002.13"
1900796669,THE HESLEY GROUP,Children and Education,"£64,451.25"
5201129798,WHITTINGTON HOSPITAL NHS TRUST,Public Health,"£64,083.00"
1900795936,URBAN LAND MANAGEMENT LTD,Temporary Accommodation,"£63,205.01"
5201127245,VOLKERHIGHWAYS LTD,Public Realm,"£61,797.08"
1900795856,COXLEASE SCHOOL PRIORY,Children and Education,"£60,000.00"
5201129468,LOGICALIS UK LTD,IT and Telecoms,"£55,654.00"
200340810,EPIC TRUST - SWALLOW HOUSE,Social care,"£55,567.36"
5201128121,RINGWAY JACOBS LIMITED,Public Realm,"£55,381.74"
5201129244,REED IN PARTNERSHIP LIMITED,General,"£53,402.26"
5201127232,CITY OF LONDON,General,"£52,813.85"
1900796129,KEEPMOAT REGENRATION (APOLLO) LTD,"Construction, Property and Fac Man","£51,457.01"
200340824,ONE HOUSING GROUP LTD,Social care,"£50,958.00"
5201127423,AGE UK HARINGEY,Social care,"£50,000.00"
1900795816,HOMES FOR HARINGEY LIMITED,"Construction, Property and Fac Man","£48,734.71"
5201127247,VOLKERHIGHWAYS LTD,Public Realm,"£48,553.92"
200340811,ST MUNGOS HOUSING ASSOCIATION,Social care,"£48,307.44"
1900796131,AGILISYS PROFESSIONAL SERVICES,People and Recruitment,"£47,880.00"
5201128117,RINGWAY JACOBS LIMITED,Public Realm,"£46,409.87"
5201129789,WESTMINSTER DRUG PROJECT LTD,General,"£45,903.67"
5201128896,RINGWAY JACOBS LIMITED,People and Recruitment,"£45,390.79"
1900795326,CIVICA UK LTD,IT and Telecoms,"£45,301.23"
1900795863,MACINTYRE CARE,Children and Education,"£44,876.70"
5201128120,RINGWAY JACOBS LIMITED,Public Realm,"£44,724.13"
5201127097,LOGICALIS UK LTD,IT and Telecoms,"£44,516.90"
8001677882,CONTINUUM GROUP & EDUCATION GROUP L,Temporary Accommodation,"£42,514.28"
1900795192,LONDON BOROUGH OF BRENT,Children and Education,"£42,245.86"
5201127629,VOLKERHIGHWAYS LTD,Public Realm,"£41,886.40"
5201129787,BUBIC,Social care,"£41,487.50"
1900795823,HOMES FOR HARINGEY LIMITED,"Construction, Property and Fac Man","£40,395.85"
5201127244,VOLKERHIGHWAYS LTD,Public Realm,"£40,316.54"
5201128119,RINGWAY JACOBS LIMITED,Public Realm,"£39,381.79"
5201128118,RINGWAY JACOBS LIMITED,Public Realm,"£39,282.63"
5201128536,FROST ASSOCIATES (A PARTNERSHIP),People and Recruitment,"£38,274.50"
5201129788,WESTMINSTER DRUG PROJECT LTD,General,"£37,969.67"
1900795730,HARINGEY ADVISORY GRP ON ALCOHOL,Public Health,"£37,500.00"
5201128095,RINGWAY JACOBS LIMITED,Public Realm,"£36,870.88"
1900795343,THE WHITTINGTON HOSPITAL NHS TRUST,Children and Education,"£36,763.00"
5201127249,VOLKERHIGHWAYS LTD,Public Realm,"£36,066.49"
200340833,ST MUNGOS HOUSING ASSOCIATION,Social care,"£35,777.08"
200340823,FAMILY MOSAIC,Social care,"£35,722.02"
5201129455,CITY OF LONDON,General,"£34,832.00"
5201128102,RINGWAY JACOBS LIMITED,Public Realm,"£34,712.66"
5201129457,VOLKERHIGHWAYS LTD,Public Realm,"£33,192.78"
1900796123,HOMES FOR HARINGEY LIMITED,General,"£33,078.87"
5201128530,IMPOWER CONSULTING LTD,People and Recruitment,"£32,960.00"
5201128986,LONDON BOROUGH OF ENFIELD,General,"£32,851.54"
5201128264,IMPOWER CONSULTING LTD,People and Recruitment,"£32,266.67"
5201129242,B & L COACHES,Travel,"£32,026.31"
5201127251,VOLKERHIGHWAYS LTD,Public Realm,"£31,500.42"
1900796575,BRIGHT GEMS NURSERY LTD,General,"£30,630.60"
1900796120,KEEPMOAT REGENRATION (APOLLO) LTD,"Construction, Property and Fac Man","£30,531.13"
1900796361,DEVONSHIRE HILL NURSERY & PRIMARY S,Children and Education,"£30,192.00"
1900795060,PLEXUS LAW CLIENT ACCOUNT,Finance,"£30,000.00"
1900795073,THE WHITTINGTON HOSPITAL NHS TRUST,People and Recruitment,"£29,569.00"
5201128099,RINGWAY JACOBS LIMITED,Public Realm,"£29,346.19"
1900796422,ILSE AMLOT CENTRE FOR WOMEN & CHILD,General,"£29,265.60"
5201127784,RINGWAY JACOBS LIMITED,Public Realm,"£28,505.92"
5201128403,MIDLAND FORESTRY LTD,Public Realm,"£28,381.60"
5201127777,TRAIN2WORK ACADEMY,General,"£28,118.54"
200340829,METROPOLITAN SUPPORT TRUST,Social care,"£28,112.75"
1900796496,PLEXUS LAW CLIENT ACCOUNT,Finance,"£28,000.00"
5201128097,RINGWAY JACOBS LIMITED,People and Recruitment,"£27,956.54"
5201127241,VOLKERHIGHWAYS LTD,Public Realm,"£27,873.80"
1900795860,SENAD LIMITED,Children and Education,"£27,790.57"
1900795172,BARNET ENFIELD+HARINGEY MH TRUST,People and Recruitment,"£27,729.66"
5201129245,POSITIVE EMPLOYMENT & TRAINING JOB,General,"£27,512.03"
5201129472,REDACTED PERSONAL DATA,General,"£27,500.00"
5201129473,REDACTED PERSONAL DATA,General,"£27,500.00"
5201129237,SODEXO HEALTHCARE SERVICES LTD,Food and Drink,"£27,174.74"
1900794996,TAVISTOCK & PORTMAN NHS FT,Children and Education,"£27,000.00"
1900795815,HOMES FOR HARINGEY LIMITED,"Construction, Property and Fac Man","£26,938.28"
8001692281,AVON LODGE UK LTD,Temporary Accommodation,"£26,890.24"
5201127243,VOLKERHIGHWAYS LTD,Public Realm,"£26,828.80"
8001689886,MAGICARE LTD,Temporary Accommodation,"£26,473.62"
8001689889,BUPA CARE HOMES (ANS) LTD,Temporary Accommodation,"£26,237.48"
8001689965,BUPA CARE HOMES (ANS) LTD,Temporary Accommodation,"£25,830.24"
5201129456,CIVICA UK LTD,People and Recruitment,"£25,617.63"
