Transaction,Vendor,Category ,Amount
5201126579,VEOLIA ES (UK) LTD,Public Realm,"£1,416,212.21"
5201126225,WHITTINGTON HOSPITAL NHS TRUST,Public Health,"£920,985.00"
5201126226,WHITTINGTON HOSPITAL NHS TRUST,Public Health,"£920,985.00"
1900794203,HAYS SPECIALIST RECRUITMENT,People and Recruitment,"£589,040.29"
1900792993,HAYS SPECIALIST RECRUITMENT,People and Recruitment,"£554,848.75"
5201123839,LENGARD LTD,"Construction, Property and Fac Man","£453,005.45"
5201126035,BTU (INSTALLATION & MAINTENANCE) LI,"Construction, Property and Fac Man","£396,690.22"
1900794991,THE WHITTINGTON HOSPITAL NHS TRUST,People and Recruitment,"£370,129.89"
1900792942,HOMES FOR HARINGEY LIMITED,"Construction, Property and Fac Man","£222,772.19"
1900793841,KEEPMOAT REGENRATION (APOLLO) LTD,"Construction, Property and Fac Man","£216,376.02"
5201126599,DIAMOND BUILD PLC,"Construction, Property and Fac Man","£215,165.12"
1900793840,HEARTLANDS HIGH SCHOOL,"Construction, Property and Fac Man","£200,000.00"
5201126530,RINGWAY JACOBS LIMITED,Public Realm,"£167,904.66"
5201125421,VOLKERHIGHWAYS LTD,Public Realm,"£166,340.31"
5201126735,LENGARD LTD,"Construction, Property and Fac Man","£149,172.10"
1900792933,ISLINGTON COUNCIL,Children and Education,"£135,343.49"
5201124252,RINGWAY JACOBS LIMITED,Public Realm,"£123,501.00"
1900794297,HOMES FOR HARINGEY LIMITED,"Construction, Property and Fac Man","£123,147.96"
5201125253,FUSION LIFESTYLE,General,"£122,958.00"
1900794614,LOVELL PARTNERSHIPS LTD,"Construction, Property and Fac Man","£120,875.13"
5201126742,EUROPA FACILITIES MANAGEMENT LTD,"Construction, Property and Fac Man","£119,323.12"
5201126739,EUROPA FACILITIES MANAGEMENT LTD,"Construction, Property and Fac Man","£105,234.94"
5201124472,TAVISTOCK & PORTMAN NHS FT,Children and Education,"£99,793.00"
5201125261,TFL SURFACE TRANSPORT,Public Realm,"£92,409.52"
5201125251,FUSION LIFESTYLE,General,"£82,989.00"
5201125337,MEDEQUIP ASSISTIVE TECH. LTD,Social care,"£80,640.54"
1900792972,CORELOGIC LTD,IT and Telecoms,"£78,222.78"
5201125250,FUSION LIFESTYLE,General,"£75,883.00"
5201126455,RINGWAY JACOBS LIMITED,Public Realm,"£75,789.37"
5201124958,ON TIME PARKING SOLUTIONS,Public Realm,"£75,152.12"
5201126453,RINGWAY JACOBS LIMITED,Public Realm,"£74,250.00"
5201124643,SAP ( UK ) LTD,IT and Telecoms,"£72,171.00"
5201125409,CITY OF LONDON,Learning and Development,"£70,071.75"
5201125252,FUSION LIFESTYLE,General,"£69,650.00"
5201123718,EUROPA FACILITIES MANAGEMENT LTD,"Construction, Property and Fac Man","£67,089.34"
1900794163,PLEXUS CLIENT ACCOUNT,Finance,"£65,000.00"
5201126604,RINGWAY JACOBS LIMITED,People and Recruitment,"£64,343.49"
1900794751,URBAN LAND MANAGEMENT LTD,Temporary Accommodation,"£62,853.86"
5201126581,VEOLIA ES (UK) LTD,Public Realm,"£60,471.44"
1900793703,YOUNG EPILEPSY,Children and Education,"£58,726.33"
1900793707,HARINGEY SIXTH FORM EDUCATION,Children and Education,"£57,800.00"
1900794033,WATES CONSTRUCTION LTD,"Construction, Property and Fac Man","£57,572.06"
5201126727,LOGICALIS UK LTD,IT and Telecoms,"£55,654.00"
200340131,EPIC TRUST - SWALLOW HOUSE,Social care,"£55,567.36"
5201126745,BLENHEIM CDP,Social care,"£55,073.50"
5201124371,NORTHGATE INFORMATION SOLUTIONS UK,IT and Telecoms,"£52,647.26"
1900792941,HOMES FOR HARINGEY LIMITED,"Construction, Property and Fac Man","£51,585.30"
5201126459,RINGWAY JACOBS LIMITED,Public Realm,"£51,566.01"
1900792940,HOMES FOR HARINGEY LIMITED,"Construction, Property and Fac Man","£50,980.49"
200340143,ONE HOUSING GROUP LTD,Social care,"£50,958.00"
1900793300,BERNIE GRANT CENTRE PARTNERSHIP LTD,Social care,"£50,000.00"
5201124218,HARINGEY CITIZEN'S ADVICE BUREAUX,Children and Education,"£50,000.00"
5201126737,LIVING UNDER ONE SUN LIMITED,Learning and Development,"£50,000.00"
5201124217,HARINGEY CITIZEN'S ADVICE BUREAUX,Children and Education,"£50,000.00"
200340132,ST MUNGOS HOUSING ASSOCIATION,Social care,"£48,307.44"
1900793350,CIVICA UK LTD,IT and Telecoms,"£47,453.14"
5201126532,RINGWAY JACOBS LIMITED,Public Realm,"£46,962.88"
5201125420,RUSKIN PRIVATE HIRE LTD,Travel,"£45,439.31"
5201126081,CIVICA UK LTD,IT and Telecoms,"£45,306.74"
5201125985,RINGWAY JACOBS LIMITED,Public Realm,"£43,722.79"
5201126602,RINGWAY JACOBS LIMITED,Public Realm,"£43,422.73"
5201125414,STAR CARS LTD,Travel,"£42,128.17"
1900794164,CUNNINGHAM LINDSEY UK CLIENT ACCOUN,Finance,"£40,000.00"
5201126529,RINGWAY JACOBS LIMITED,Public Realm,"£39,956.90"
1900793292,HOMES FOR HARINGEY LIMITED,"Construction, Property and Fac Man","£39,001.30"
1900794605,LONDON BOROUGH OF CROYDON,Finance,"£38,229.00"
5201124699,MULALLEY AND CO LIMITED,"Construction, Property and Fac Man","£38,217.00"
5201125868,JONES BAKER ENGINEERING COMPANY,"Construction, Property and Fac Man","£37,647.00"
5201126744,EQUINOX,Social care,"£37,634.75"
1900794162,WHITTINGTON HOSPITAL NHS TRUST,Children and Education,"£36,763.00"
1900793306,WHITTINGTON HOSPITAL NHS TRUST,Children and Education,"£36,763.00"
5201126030,HARINGEY ADVISORY GRP ON ALCOHOL,Social care,"£36,224.25"
5201126029,HARINGEY ADVISORY GRP ON ALCOHOL,Social care,"£36,224.25"
8001606846,ADMIRAL HEALTHCARE LIMITED,Temporary Accommodation,"£36,128.57"
5201123594,"EAST ARCHIT, LANDSCAPE, URBAN DSGN",People and Recruitment,"£35,816.00"
200340149,ST MUNGOS HOUSING ASSOCIATION,Social care,"£35,777.08"
200340142,FAMILY MOSAIC,Social care,"£35,722.02"
5201126458,RINGWAY JACOBS LIMITED,Public Realm,"£35,163.48"
5201123961,VEOLIA ES (UK) LTD,Public Realm,"£35,055.11"
1900794428,LONDON BOROUGH OF ENFIELD,Public Health,"£35,000.00"
5201125419,B & L COACHES,Travel,"£33,402.20"
