Transaction,Vendor,Category ,Amount
1900792625,HOMES FOR HARINGEY LIMITED,ALMO Management Fee,"£3,248,833.00"
1900792626,HOMES FOR HARINGEY LIMITED,ALMO Management Fee,"£3,248,833.00"
5201121872,VEOLIA ES (UK) LTD,Public Realm,"£1,416,212.21"
1900790270,HOMES FOR HARINGEY LIMITED,"Construction, Property and Fac Man","£1,305,000.00"
1900792000,HAYS SPECIALIST RECRUITMENT,People and Recruitment,"£628,771.02"
1900791999,HAYS SPECIALIST RECRUITMENT,People and Recruitment,"£547,966.87"
1900790799,HAYS SPECIALIST RECRUITMENT,People and Recruitment,"£461,560.43"
1900791615,DEPARTMENT OF ENERGY & CLIMATE CHANGE,Energy and Utilities,"£441,924.00"
1900792013,HAYS SPECIALIST RECRUITMENT,People and Recruitment,"£422,881.26"
1900791786,HARINGEY SCHOOLS SERVICES LIMITED,Children and Education,"£353,429.85"
1900792175,WHITTINGTON HOSPITAL NHS TRUST,People and Recruitment,"£351,870.56"
1900792734,LOVELL PARTNERSHIPS LTD,"Construction, Property and Fac Man","£312,037.11"
1900790912,HOMES FOR HARINGEY LIMITED,"Construction, Property and Fac Man","£293,975.28"
5201121607,LENGARD LTD,"Construction, Property and Fac Man","£281,561.58"
5201122816,DIAMOND BUILD PLC,"Construction, Property and Fac Man","£279,484.72"
5201121840,CGI IT UK LIMITED,IT and Telecoms,"£267,000.00"
1900792731,LOVELL PARTNERSHIPS LTD,"Construction, Property and Fac Man","£263,527.28"
5201123158,BTU (INSTALLATION & MAINTENANCE) LI,"Construction, Property and Fac Man","£259,749.66"
1900791226,RM EDUCATION LTD,IT and Telecoms,"£255,511.33"
1900792354,RM EDUCATION LTD,IT and Telecoms,"£249,529.22"
5201120520,CITY OF LONDON,General,"£239,724.00"
1900790800,HAYS SPECIALIST RECRUITMENT,People and Recruitment,"£163,103.03"
5201121887,CRIME REDUCTION INITIATIVES,General,"£155,797.00"
5201120887,EUROPA FACILITIES MANAGEMENT LTD,"Construction, Property and Fac Man","£140,844.40"
1900791567,TAVISTOCK & PORTMAN NHS FT,Children and Education,"£133,057.00"
1900790914,HOMES FOR HARINGEY LIMITED,General,"£131,358.89"
1900792002,KEEPMOAT REGENRATION (APOLLO) LTD,"Construction, Property and Fac Man","£124,986.60"
200338694,ST MUNGOS HOUSING ASSOCIATION,Social care,"£107,326.26"
5201121875,VEOLIA ES (UK) LTD,Public Realm,"£90,662.47"
5201122985,MEDEQUIP ASSISTIVE TECH. LTD,Social care,"£90,447.11"
5201121608,RAYTELL ELECTRICAL COMPANY LTD,"Construction, Property and Fac Man","£85,136.07"
1900792720,MOYGLEN CONSTRUCTION LTD,"Construction, Property and Fac Man","£74,779.57"
1900792732,LOVELL PARTNERSHIPS LTD,"Construction, Property and Fac Man","£74,485.43"
5201121293,BALFOUR BEATTY WORKPLACE LTD,General,"£73,836.36"
5201122823,BALFOUR BEATTY WORKPLACE LTD,General,"£73,836.36"
200338052,ONE HOUSING GROUP LTD,Social care,"£70,977.21"
