Transaction number,Vendor ,Category,Amount
1900805756,HOMES FOR HARINGEY LIMITED,ALMO Management Fee,"£3,248,837.00"
5201142077,RINGWAY JACOBS LIMITED,Public Realm,"£1,200,000.00"
5201144305,FUSION LIFESTYLE,General,"£851,546.00"
1900806121,HAYS SPECIALIST RECRUITMENT,People and Recruitment,"£702,892.89"
1900805266,EXPRESS LIFTS ALLIANCE GROUP,"Construction, Property and Fac Man","£519,555.00"
1900806597,MEARS LTD,"Construction, Property and Fac Man","£513,743.70"
1900805804,HOMES FOR HARINGEY LIMITED,"Construction, Property and Fac Man","£501,160.34"
5201144838,BALFOUR BEATTY CONSTRUCTION SCOTTIS,"Construction, Property and Fac Man","£484,904.50"
1900806249,ACCOUNTANT GENERAL OF THE SENIOR CO,General,"£374,392.97"
5201144837,RINGWAY JACOBS LIMITED,Public Realm,"£370,702.23"
5201143722,HARINGEY SCHOOLS SERVICES LIMITED,Children and Education,"£353,897.97"
1900805774,WHITTINGTON HOSPITAL NHS TRUST,People and Recruitment,"£308,576.82"
1900806122,HAYS SPECIALIST RECRUITMENT,People and Recruitment,"£296,027.38"
5201141798,RINGWAY JACOBS LIMITED,Public Realm,"£273,170.45"
1900806519,HOMES FOR HARINGEY LIMITED,"Construction, Property and Fac Man","£253,041.33"
5201144848,WHITTINGTON HOSPITAL NHS TRUST,Public Health,"£249,916.67"
1900806516,HOMES FOR HARINGEY LIMITED,"Construction, Property and Fac Man","£220,840.02"
1900805803,HOMES FOR HARINGEY LIMITED,"Construction, Property and Fac Man","£216,676.20"
5201143786,DIAMOND BUILD PLC,"Construction, Property and Fac Man","£195,053.21"
1900805832,HOMES FOR HARINGEY LIMITED,"Construction, Property and Fac Man","£172,080.93"
5201143507,LONDON BOROUGH OF ENFIELD,Public Health,"£161,000.00"
1900806520,HAYS SPECIALIST RECRUITMENT,People and Recruitment,"£160,910.67"
5201144746,NORTHGATE INFORMATION SOLUTIONS UK,Learning and Development,"£158,750.50"
5201143721,GREATER LONDON AUTHORITY,Public Realm,"£147,945.68"
5201141788,RINGWAY JACOBS LIMITED,Public Realm,"£145,602.25"
1900806515,HOMES FOR HARINGEY LIMITED,"Construction, Property and Fac Man","£139,986.86"
5201144186,TRUSTMARQUE SOLUTIONS LIMITED,IT and Telecoms,"£135,442.19"
5201143441,T & B CONTRACTORS LTD,"Construction, Property and Fac Man","£123,924.74"
1900805834,HOMES FOR HARINGEY LIMITED,"Construction, Property and Fac Man","£123,452.04"
1900806517,TRANSPORT FOR LONDON,Transport & Travel,"£122,774.40"
5201143445,RINGWAY JACOBS LIMITED,Public Realm,"£115,023.43"
5201144316,TRUSTMARQUE SOLUTIONS LIMITED,IT and Telecoms,"£112,323.80"
5201143161,RINGWAY JACOBS LIMITED,Public Realm,"£112,121.54"
1900805705,HOMES FOR HARINGEY LIMITED,"Construction, Property and Fac Man","£109,716.11"
5201141805,EUROPA FACILITIES MANAGEMENT LTD,"Construction, Property and Fac Man","£103,669.26"
5201144777,RINGWAY JACOBS LIMITED,Public Realm,"£100,261.95"
5201141796,RINGWAY JACOBS LIMITED,Public Realm,"£97,754.12"
5201141803,EUROPA FACILITIES MANAGEMENT LTD,"Construction, Property and Fac Man","£97,014.05"
5201144674,TFL SURFACE TRANSPORT,Public Realm,"£95,770.09"
5201141802,EUROPA FACILITIES MANAGEMENT LTD,"Construction, Property and Fac Man","£95,107.56"
8001879196,GLENPAT HOMES LTD,Temporary Accommodation,"£93,785.25"
5201143186,RINGWAY JACOBS LIMITED,Public Realm,"£91,888.19"
5201143508,TAVISTOCK & PORTMAN NHS FT,Children and Education,"£90,161.25"
1900805848,HOMES FOR HARINGEY LIMITED,"Construction, Property and Fac Man","£87,000.00"
1900806131,IMPOWER CONSULTING LTD,People and Recruitment,"£81,175.00"
5201143862,CIVICA UK LTD,"Construction, Property and Fac Man","£75,645.00"
5201141779,COFELY WORKPLACE LTD,General,"£75,283.57"
5201144785,RINGWAY JACOBS LIMITED,Public Realm,"£75,000.00"
5201144366,WHITTINGTON HOSPITAL NHS TRUST,Public Health,"£72,000.00"
1900805909,BRIDGE RENEWAL TRUST,"Construction, Property and Fac Man","£71,250.04"
5201144322,CAPITA BUSINESS SERVICES LTD,IT and Telecoms,"£70,392.86"
5201143782,PURDY CONTRACTS LTD,"Construction, Property and Fac Man","£70,084.76"
1900806594,LOVELL PARTNERSHIPS LTD,"Construction, Property and Fac Man","£68,275.94"
5201142543,GRANT THORNTON UK LLP,Finance,"£68,175.00"
5201143237,PARKEON LTD,Public Realm,"£67,750.00"
5201144383,RINGWAY JACOBS LIMITED,Public Realm,"£65,190.78"
1900805835,URBAN LAND MANAGEMENT LTD,Temporary Accommodation,"£61,989.01"
5201144673,NHS PROPERTY SERVICES LTD,Public Health,"£61,382.20"
5201144371,RETROFIT WORKS LIMITED,Energy and Utilities,"£58,750.00"
5201141777,IMPERIAL COLLEGE HEALTHCARE NHS TRU,Public Health,"£58,057.00"
8001853861,MARCUS & MARCUS LTD,Social care,"£57,069.39"
5201144781,RINGWAY JACOBS LIMITED,Public Realm,"£57,000.67"
1900805541,LOGICALIS UK LTD,IT and Telecoms,"£55,654.00"
5201143118,GREATER LONDON AUTHORITY,Public Realm,"£54,832.00"
5201144784,RINGWAY JACOBS LIMITED,Public Realm,"£53,501.55"
5201144786,CYCLING INSTRUCTOR LTD,Learning and Development,"£52,924.00"
200345488,EPIC TRUST - SWALLOW HOUSE,Social care,"£52,279.68"
5201144835,RINGWAY JACOBS LIMITED,Public Realm,"£51,957.24"
200345502,ONE HOUSING GROUP LTD,Social care,"£50,958.00"
5201144839,CITY OF LONDON,General,"£50,109.51"
5201141790,THAMES21 LIMITED,General,"£50,000.00"
1900806215,CUNNINGHAM LINDSEY UK CLIENT ACCOUN,Finance,"£50,000.00"
5201143444,FUSION LIFESTYLE,Sport and Leisure,"£49,950.00"
200345514,METROPOLITAN SUPPORT TRUST,Social care,"£49,474.61"
5201139790,YOUNG MINDS TRUST,Learning and Development,"£49,450.00"
5201141776,IMPERIAL COLLEGE HEALTHCARE NHS TRU,Public Health,"£48,989.00"
1900805896,LOCAL GOVERNMENT ASSOCIATION,Learning and Development,"£46,091.98"
200345489,ST MUNGOS HOUSING ASSOCIATION,Social care,"£45,546.90"
1900805840,CIVICA UK LTD,IT and Telecoms,"£45,301.23"
5201143541,CITY OF LONDON,Learning and Development,"£45,186.00"
5201144783,RINGWAY JACOBS LIMITED,Public Realm,"£45,087.85"
5201144311,ECD ARCHITECTS LTD,"Construction, Property and Fac Man","£44,964.29"
5201143803,CITY OF LONDON,Public Realm,"£43,365.00"
5201144780,RINGWAY JACOBS LIMITED,Public Realm,"£42,369.93"
5201141824,STAR CARS LTD,Transport & Travel,"£41,245.97"
