 Transaction  No  , Vendor ,Category,Amount
5201138032,TRANSPORT TRADING LTD,Transport & Travel,"£3,327,370"
1900802658,HOMES FOR HARINGEY LIMITED,ALMO Management Fee,"£3,248,833"
5201137227,BARNET ENFIELD+HARINGEY MH TRUST,Public Health,"£623,049"
1900801269,HAYS SPECIALIST RECRUITMENT,People and Recruitment,"£611,284"
1900800926,KEEPMOAT REGENRATION (APOLLO) LTD,"Construction, Property and Fac Man","£600,664"
1900802137,HAYS SPECIALIST RECRUITMENT,People and Recruitment,"£575,167"
5201136913,BALFOUR BEATTY CONSTRUCTION SCOTTIS,"Construction, Property and Fac Man","£508,271"
5201136602,HARINGEY SCHOOLS SERVICES LIMITED,Children and Education,"£353,898"
5201135631,WHITTINGTON HOSPITAL NHS TRUST,Public Health,"£345,453"
5201138035,WHITTINGTON HOSPITAL NHS TRUST,Public Health,"£345,453"
1900802054,WHITTINGTON HOSPITAL NHS TRUST,Social care,"£334,492"
1900801023,KEEPMOAT REGENRATION (APOLLO) LTD,"Construction, Property and Fac Man","£300,000"
1900801438,AG OF THE SUPREME COURT,General,"£282,483"
1900801598,HOMES FOR HARINGEY LIMITED,"Construction, Property and Fac Man","£262,696"
5201136081,RINGWAY JACOBS LIMITED,Public Realm,"£262,066"
1900802563,MULALLEY AND CO LIMITED,"Construction, Property and Fac Man","£182,978"
5201136217,CRIME REDUCTION INITIATIVES,General,"£155,797"
5201137538,BARNET ENFIELD+HARINGEY MH TRUST,Public Health,"£149,379"
5201137362,LENGARD LTD,"Construction, Property and Fac Man","£129,793"
1900801953,HARINGEY ADVISORY GRP ON ALCOHOL,Public Health,"£129,341"
1900801377,CNWL NHS FOUNDATION TRUST,Public Health,"£124,062"
1900801376,CNWL NHS FOUNDATION TRUST,Public Health,"£114,796"
5201137031,RINGWAY JACOBS LIMITED,Public Realm,"£109,563"
5201137234,PENNA PLC,People and Recruitment,"£103,765"
1900802513,THE PROPERTY COMPANY LONDON LTD,Temporary Accommodation,"£101,947"
1900801210,MOYGLEN CONSTRUCTION LTD,"Construction, Property and Fac Man","£98,324"
5201137666,RINGWAY JACOBS LIMITED,Public Realm,"£93,415"
1900801689,PLEXUS LAW CLIENT ACCOUNT,Finance,"£88,778"
5201136832,RINGWAY JACOBS LIMITED,Public Realm,"£86,140"
5201136401,RINGWAY JACOBS LIMITED,Public Realm,"£73,609"
5201137229,PENNA PLC,People and Recruitment,"£72,754"
5201136587,GROUNDWORK LONDON,Public Realm,"£70,000"
1900801565,URBAN LAND MANAGEMENT LTD,Temporary Accommodation,"£69,729"
5201135624,EUROPA FACILITIES MANAGEMENT LTD,"Construction, Property and Fac Man","£67,341"
5201137665,RINGWAY JACOBS LIMITED,Public Realm,"£67,144"
1900801230,VOLKERHIGHWAYS LTD,Public Realm,"£65,689"
1900801702,HEYWOOD LIMITED,IT and Telecoms,"£64,925"
5201135630,WHITTINGTON HOSPITAL NHS TRUST,Public Health,"£64,083"
5201137499,REED IN PARTNERSHIP LIMITED,General,"£61,926"
1900801693,LOVELL PARTNERSHIPS LTD,"Construction, Property and Fac Man","£61,238"
1900801635,WHITTINGTON HOSPITAL NHS TRUST,People and Recruitment,"£57,455"
5201137230,ORACLE CORPORATION UK LTD,IT and Telecoms,"£56,782"
1900801271,LOGICALIS UK LTD,IT and Telecoms,"£55,654"
200343835,EPIC TRUST - SWALLOW HOUSE,Social care,"£55,567"
1900800922,ST MUNGOS COMMUNITY HOUSING ASSOCIA,Public Health,"£55,500"
5201137868,CM MONITOR LIMITED,Communication,"£55,125"
5201138068,W.F.BUTTON & SON LTD T/A BUTTON-LIN,"Construction, Property and Fac Man","£54,178"
200343861,METROPOLITAN SUPPORT TRUST,Social care,"£53,468"
200343849,ONE HOUSING GROUP LTD,Social care,"£50,958"
5201137260,CIVICA UK LTD,IT and Telecoms,"£50,000"
1900801146,CUNNINGHAM LINDSEY UK CLIENT ACCOUN,Finance,"£50,000"
200343836,ST MUNGOS HOUSING ASSOCIATION,Social care,"£48,307"
8001792184,FOCUS ON FOSTERING LTD,Children and Education,"£47,337"
5201136395,RUSKIN PRIVATE HIRE LTD,Transport & Travel,"£47,266"
5201137539,HARINGEY ADVISORY GRP ON ALCOHOL,Public Health,"£47,225"
5201137867,RINGWAY JACOBS LIMITED,Public Realm,"£46,199"
1900800980,CIVICA UK LTD,IT and Telecoms,"£45,301"
1900801890,HAYS SPECIALIST RECRUITMENT,People and Recruitment,"£45,256"
5201137485,CITY OF LONDON,General,"£44,506"
5201126452,RINGWAY JACOBS LIMITED,Public Realm,"£43,723"
5201137033,RINGWAY JACOBS LIMITED,Public Realm,"£43,723"
5201137228,PENNA PLC,People and Recruitment,"£43,050"
5201137537,HARINGEY ADVISORY GRP ON ALCOHOL,General,"£42,750"
1900801374,LONDON BOROUGH OF CROYDON,Finance,"£41,666"
5201136831,RINGWAY JACOBS LIMITED,Public Realm,"£41,072"
1900801216,RM EDUCATION LTD,IT and Telecoms,"£40,030"
1900802621,HOMES FOR HARINGEY LIMITED,"Construction, Property and Fac Man","£39,873"
5201136386,TRAIN2WORK ACADEMY,General,"£38,890"
5201136399,STAR CARS LTD,Transport & Travel,"£38,536"
5201137872,SOUTHERN LANDSCAPE AND CONSTRUCTION,"Construction, Property and Fac Man","£37,876"
5201137235,PENNA PLC,People and Recruitment,"£37,722"
200343860,ST MUNGOS HOUSING ASSOCIATION,Social care,"£37,564"
5201137639,FAMILY ACTION,Children and Education,"£37,432"
1900801214,RM EDUCATION LTD,IT and Telecoms,"£37,030"
1900801242,THE WHITTINGTON HOSPITAL NHS TRUST,Children and Education,"£36,763"
1900801241,THE WHITTINGTON HOSPITAL NHS TRUST,Children and Education,"£36,763"
200343858,ST MUNGOS HOUSING ASSOCIATION,Social care,"£35,777"
200343848,FAMILY MOSAIC,Social care,"£35,722"
5201137568,LOGICALIS UK LTD,IT and Telecoms,"£35,688"
5201137638,QUAKER SOCIAL ACTION,Children and Education,"£34,166"
5201136739,CITY OF LONDON,General,"£33,250"
5201137342,B & L COACHES,Transport & Travel,"£33,050"
5201136225,IMPOWER CONSULTING LTD,People and Recruitment,"£32,960"
1900801366,INFORM COMMUNICATIONS PLC,General,"£32,054"
1900802647,HOMES FOR HARINGEY LIMITED,"Construction, Property and Fac Man","£30,477"
5201137479,LONDON BOROUGH OF ENFIELD,General,"£30,409"
5201136637,LAND USE CONSULTANTS LTD T/A LUC,Communication,"£30,000"
1900801367,PLEXUS LAW CLIENT ACCOUNT,Finance,"£30,000"
1900801477,FP TELESET,General,"£30,000"
5201136385,TRAIN2WORK ACADEMY,General,"£29,991"
1900801356,AGILISYS PROFESSIONAL SERVICES,People and Recruitment,"£29,775"
5201135634,RINGWAY JACOBS LIMITED,Public Realm,"£29,143"
1900801630,AGE UK HARINGEY,General,"£29,000"
1900801628,LIVING UNDER ONE SUN LIMITED,General,"£29,000"
5201136240,NLPC LTD,General,"£28,828"
8001794462,LONDON CARE PARTNERSHIP LTD,Temporary Accommodation,"£28,546"
5201137490,WILKS HEAD AND EVE,People and Recruitment,"£27,600"
1900801355,AGILISYS PROFESSIONAL SERVICES,People and Recruitment,"£27,401"
5201136034,RINGWAY JACOBS LIMITED,Public Realm,"£27,334"
5201137684,SODEXO HEALTHCARE SERVICES LTD,Food and Drink,"£25,402"
