Transaction No.,Vendor Name, Category ,Amount
1900800109,HOMES FOR HARINGEY LIMITED,ALMO Management Fee,"£3,248,833.00"
5201134356,VEOLIA ES (UK) LTD,Public Realm,"£1,416,212.21"
5201135334,WHITTINGTON HOSPITAL NHS TRUST,Public Health,"£690,906.76"
1900798945,HAYS SPECIALIST RECRUITMENT,People and Recruitment,"£563,281.86"
1900798854,KEEPMOAT REGENRATION (APOLLO) LTD,"Construction, Property and Fac Man","£489,584.54"
1900799982,HAYS SPECIALIST RECRUITMENT,People and Recruitment,"£457,143.61"
5201133299,HARINGEY SCHOOLS SERVICES LIMITED,Children and Education,"£353,897.97"
1900798948,HAYS SPECIALIST RECRUITMENT,People and Recruitment,"£347,361.03"
5201133831,BALFOUR BEATTY CONSTRUCTION SCOTTIS,"Construction, Property and Fac Man","£333,842.51"
1900800107,HOMES FOR HARINGEY LIMITED,"Construction, Property and Fac Man","£312,999.10"
5201134277,SAP ( UK ) LTD,IT and Telecoms,"£309,482.00"
5201134357,DIAMOND BUILD PLC,"Construction, Property and Fac Man","£271,067.02"
1900799306,LONDON BOROUGH OF BARNET,Children and Education,"£270,241.83"
1900799577,BARNET ENFIELD+HARINGEY MH TRUST,Public Health,"£181,596.00"
1900799578,BARNET ENFIELD+HARINGEY MH TRUST,Public Health,"£181,596.00"
5201135225,RINGWAY JACOBS LIMITED,Public Realm,"£169,119.46"
5201133966,RINGWAY JACOBS LIMITED,Public Realm,"£160,402.41"
5201133962,RINGWAY JACOBS LIMITED,Public Realm,"£157,805.62"
1900800001,CARILLION ENERGY SERVICES LTD,"Construction, Property and Fac Man","£148,685.00"
1900799454,BARNET ENFIELD+HARINGEY MH TRUST,People and Recruitment,"£141,386.29"
5201132769,MOUNTVIEW ACADEMY OF THEATRE ARTS L,Sport and Leisure,"£139,452.73"
1900800103,HOMES FOR HARINGEY LIMITED,General,"£139,352.67"
5201135230,PURDY CONTRACTS LTD,"Construction, Property and Fac Man","£138,103.88"
1900800108,HOMES FOR HARINGEY LIMITED,"Construction, Property and Fac Man","£131,011.95"
1900800104,HOMES FOR HARINGEY LIMITED,"Construction, Property and Fac Man","£127,229.67"
5201135204,RINGWAY JACOBS LIMITED,Public Realm,"£125,396.52"
1900800567,HOMES FOR HARINGEY LIMITED,"Construction, Property and Fac Man","£111,694.43"
5201133486,EUROPA FACILITIES MANAGEMENT LTD,"Construction, Property and Fac Man","£107,762.48"
1900799210,LONDON BOROUGH OF CAMDEN,Children and Education,"£100,347.81"
5201133221,LENGARD LTD,"Construction, Property and Fac Man","£99,067.74"
5201133967,RINGWAY JACOBS LIMITED,Public Realm,"£97,527.50"
5201135192,TAVISTOCK & PORTMAN NHS FT,Children and Education,"£96,582.42"
5201133953,TFL SURFACE TRANSPORT,Public Realm,"£92,409.52"
1900799903,SCCI ALPHATRACK LTD,"Construction, Property and Fac Man","£91,311.19"
1900800724,MEARS LTD,"Construction, Property and Fac Man","£86,185.31"
5201132773,EUROPA FACILITIES MANAGEMENT LTD,"Construction, Property and Fac Man","£85,555.64"
1900800170,LOVELL PARTNERSHIPS LTD,"Construction, Property and Fac Man","£80,167.81"
5201134613,RINGWAY JACOBS LIMITED,Public Realm,"£77,891.66"
5201134028,ON TIME PARKING SOLUTIONS,Public Realm,"£76,272.48"
5201134031,ON TIME PARKING SOLUTIONS,Public Realm,"£75,882.43"
5201134360,MEDEQUIP ASSISTIVE TECH. LTD,Social care,"£75,726.58"
5201134030,ON TIME PARKING SOLUTIONS,Public Realm,"£75,568.92"
5201133891,FUSION LIFESTYLE,General,"£73,183.00"
