Transaction Number,Vendor,Category,Amount
1900809789,HOMES FOR HARINGEY LIMITED,ALMO Management Fee,"£3,052,417.00"
1900809788,HOMES FOR HARINGEY LIMITED,ALMO Management Fee,"£3,052,417.00"
1900809787,HOMES FOR HARINGEY LIMITED,ALMO Management Fee,"£1,725,300.00"
5201148914,VEOLIA ES (UK) LTD,Public Realm,"£1,411,648.13"
5201150096,BARNET ENFIELD+HARINGEY MH TRUST,Public Health,"£623,043.00"
1900810879,HAYS SPECIALIST RECRUITMENT,People and Recruitment,"£597,024.28"
1900810678,HAYS SPECIALIST RECRUITMENT,People and Recruitment,"£586,909.63"
1900810693,HAYS SPECIALIST RECRUITMENT,People and Recruitment,"£586,909.63"
1900811047,HAYS SPECIALIST RECRUITMENT,People and Recruitment,"£573,269.30"
5201148397,BALFOUR BEATTY CONSTRUCTION SCOTTIS,"Construction, Property and Fac Man","£479,216.96"
1900810183,MEARS LTD,"Construction, Property and Fac Man","£450,184.61"
1900810465,DEPARTMENT OF ENERGY & CLIMATE CHAN,Energy and Utilities,"£421,324.80"
1900809646,RINGWAY JACOBS LIMITED,Public Realm,"£393,800.69"
5201150109,HARINGEY SCHOOLS SERVICES LIMITED,Children and Education,"£353,897.97"
1900810495,TBAP TRUST,Children and Education,"£296,933.33"
5201148992,WHITTINGTON HOSPITAL NHS TRUST,Public Health,"£249,916.67"
5201150675,WHITTINGTON HOSPITAL NHS TRUST,Public Health,"£249,916.67"
1900810060,WATES CONSTRUCTION LTD,"Construction, Property and Fac Man","£219,967.17"
5201148926,RINGWAY JACOBS LIMITED,Public Realm,"£212,137.65"
5201149023,BARNET ENFIELD+HARINGEY MH TRUST,Public Health,"£207,681.00"
5201149021,BARNET ENFIELD+HARINGEY MH TRUST,Public Health,"£207,681.00"
5201148900,RINGWAY JACOBS LIMITED,Public Realm,"£196,348.97"
5201148892,CITY OF LONDON,Public Realm,"£192,892.00"
1900809767,LONDON DIOCESAN BOARD FOR SCHOOLS,Children and Education,"£187,000.00"
5201150072,HARINGEY ADVISORY GRP ON ALCOHOL,Public Health,"£129,341.00"
5201148935,P TUCKWELL LTD,Public Realm,"£126,290.00"
5201148824,HEYWOOD LIMITED,IT and Telecoms,"£113,091.65"
5201148955,CENTRAL & NORTH WEST LONDON NHS FT,Public Health,"£112,649.11"
5201149054,RINGWAY JACOBS LIMITED,Public Realm,"£109,913.07"
5201150081,EUROPA FACILITIES MANAGEMENT LTD,"Construction, Property and Fac Man","£105,156.52"
5201149058,RINGWAY JACOBS LIMITED,Public Realm,"£103,026.26"
5201150678,MEDEQUIP ASSISTIVE TECH. LTD,Social care,"£98,085.52"
5201150375,MULALLEY AND CO LIMITED,"Construction, Property and Fac Man","£96,541.00"
5201148915,VEOLIA ES (UK) LTD,Public Realm,"£87,120.30"
5201149009,RINGWAY JACOBS LIMITED,Public Realm,"£84,467.79"
5201147761,MEDEQUIP ASSISTIVE TECH. LTD,Social care,"£80,387.26"
5201149017,RINGWAY JACOBS LIMITED,Public Realm,"£80,362.52"
1900811048,HAYS SPECIALIST RECRUITMENT,People and Recruitment,"£79,568.71"
1900810562,PLEXUS LAW CLIENT ACCOUNT,Finance,"£77,156.76"
5201148814,COFELY WORKPLACE LTD,General,"£76,168.70"
5201150682,WHITTINGTON HOSPITAL NHS TRUST,Public Health,"£72,000.00"
5201148742,GROUNDWORK LONDON,"Construction, Property and Fac Man","£70,000.00"
5201148828,AXON SOLUTIONS LTD T/A HCL AXON,IT and Telecoms,"£69,195.00"
5201147905,RINGWAY JACOBS LIMITED,Public Realm,"£68,069.14"
1900810614,PURDY CONTRACTS LTD,"Construction, Property and Fac Man","£67,633.35"
5201149547,THE HESLEY GROUP,General,"£64,451.25"
1900810130,URBAN LAND MANAGEMENT LTD,Temporary Accommodation,"£63,863.41"
5201148829,AXON SOLUTIONS LTD T/A HCL AXON,IT and Telecoms,"£61,972.00"
1900810061,KEEPMOAT REGENRATION (APOLLO) LTD,"Construction, Property and Fac Man","£55,435.10"
5201148213,TRUSTMARQUE SOLUTIONS LIMITED,IT and Telecoms,"£54,915.00"
1900808636,ST ELIZABETHS CENTRE,General,"£53,748.00"
5201148927,MOYGLEN CONSTRUCTION LTD,"Construction, Property and Fac Man","£52,715.57"
5201150887,ESTEEM SYSTEMS LTD,IT and Telecoms,"£52,318.00"
1900809636,AXON SOLUTIONS LTD T/A HCL AXON,IT and Telecoms,"£52,193.00"
1900809635,AXON SOLUTIONS LTD T/A HCL AXON,IT and Telecoms,"£52,193.00"
1900809634,AXON SOLUTIONS LTD T/A HCL AXON,IT and Telecoms,"£52,193.00"
5201148825,AXON SOLUTIONS LTD T/A HCL AXON,IT and Telecoms,"£52,193.00"
