Transaction Number,Vendor,Category,Amount
5201139954,VEOLIA ES (UK) LTD,Public Realm,"£1,416,212"
5201139955,VEOLIA ES (UK) LTD,Public Realm,"£1,416,212"
1900803908,WATES CONSTRUCTION LTD,"Construction, Property and Fac Man","£1,393,083"
1900803906,MULALLEY AND CO LIMITED,"Construction, Property and Fac Man","£1,325,836"
1900803913,KEEPMOAT REGENRATION (APOLLO) LTD,"Construction, Property and Fac Man","£1,193,053"
1900803127,KEEPMOAT REGENRATION (APOLLO) LTD,"Construction, Property and Fac Man","£1,106,947"
1900804036,MEARS LTD,"Construction, Property and Fac Man","£893,058"
5201140133,FUSION LIFESTYLE,General,"£789,685"
1900804948,HAYS SPECIALIST RECRUITMENT,People and Recruitment,"£667,660"
1900804217,HAYS SPECIALIST RECRUITMENT,People and Recruitment,"£574,987"
1900803898,MULALLEY AND CO LIMITED,"Construction, Property and Fac Man","£561,844"
1900804037,EXPRESS LIFTS ALLIANCE GROUP,"Construction, Property and Fac Man","£483,568"
1900802736,HAYS SPECIALIST RECRUITMENT,People and Recruitment,"£473,239"
5201138912,HARINGEY SCHOOLS SERVICES LIMITED,Children and Education,"£353,898"
1900803452,MEARS LTD,"Construction, Property and Fac Man","£344,808"
5201140907,BALFOUR BEATTY CONSTRUCTION SCOTTIS,"Construction, Property and Fac Man","£313,387"
1900803091,LONDON CAPITAL CREDIT UNION LTD,General,"£250,000"
5201138743,CITY OF LONDON,General,"£239,724"
1900802828,LONDON BOROUGH OF ENFIELD,General,"£239,620"
1900804386,BARNET ENFIELD+HARINGEY MH TRUST,People and Recruitment,"£226,813"
5201138792,DIAMOND BUILD PLC,"Construction, Property and Fac Man","£211,844"
1900802829,LONDON BOROUGH OF ENFIELD,General,"£189,807"
1900803825,WATES CONSTRUCTION LTD,"Construction, Property and Fac Man","£188,014"
1900804065,LONDON DIOCESAN BOARD FOR SCHOOLS,Children and Education,"£187,000"
1900804042,LONDON BOROUGH OF ENFIELD,General,"£161,591"
1900804191,HOMES FOR HARINGEY LIMITED,"Construction, Property and Fac Man","£160,118"
1900803883,BARNET ENFIELD+HARINGEY MH TRUST,People and Recruitment,"£159,683"
