Transaction Number,Vendor,Category,Amount
5201146392,VEOLIA ES (UK) LTD,Public Realm,"£1,411,648.13"
5201146577,FUSION LIFESTYLE,General,"£1,349,165.00"
5201146394,FUSION LIFESTYLE,General,"£851,546.00"
1900807479,HAYS SPECIALIST RECRUITMENT,People and Recruitment,"£598,668.67"
1900807432,HOMES FOR HARINGEY LIMITED,"Construction, Property and Fac Man","£501,223.48"
5201147750,HARINGEY SCHOOLS SERVICES LIMITED,Children and Education,"£353,897.97"
1900807337,HOMES FOR HARINGEY LIMITED,"Construction, Property and Fac Man","£294,644.35"
5201145836,NORTHGATE INFORMATION SOLUTIONS UK,IT and Telecoms,"£291,588.00"
1900807326,HOMES FOR HARINGEY LIMITED,"Construction, Property and Fac Man","£280,000.00"
1900807431,HOMES FOR HARINGEY LIMITED,"Construction, Property and Fac Man","£264,981.05"
5201144941,WHITTINGTON HOSPITAL NHS TRUST,Public Health,"£249,916.67"
5201146422,ST MUNGOS COMMUNITY HOUSING ASSOCIA,Public Health,"£242,712.67"
5201146077,ST MUNGOS COMMUNITY HOUSING ASSOCIA,Public Health,"£242,712.00"
5201147817,RINGWAY JACOBS LIMITED,Public Realm,"£211,760.05"
5201147330,AXON SOLUTIONS LTD T/A HCL AXON,IT and Telecoms,"£179,582.05"
5201146086,LOCAL GOVERNMENT ASSOCIATION,Learning and Development,"£129,251.00"
1900808370,CITY OF LONDON,Learning and Development,"£129,251.00"
5201146951,T LOUGHMAN & CO LTD,"Construction, Property and Fac Man","£128,199.08"
5201146178,CENTRAL & NORTH WEST LONDON NHS FT,Public Health,"£126,380.65"
5201146181,CENTRAL & NORTH WEST LONDON NHS FT,Public Health,"£125,761.39"
1900807339,HOMES FOR HARINGEY LIMITED,"Construction, Property and Fac Man","£125,087.22"
5201145432,MEDEQUIP ASSISTIVE TECH. LTD,Social care,"£122,442.44"
1900808633,EXPRESS LIFTS ALLIANCE GROUP,"Construction, Property and Fac Man","£120,019.20"
1900806972,THE PROPERTY COMPANY LONDON LTD,Temporary Accommodation,"£111,413.59"
5201145021,EUROPA FACILITIES MANAGEMENT LTD,"Construction, Property and Fac Man","£108,752.12"
5201146950,TFL SURFACE TRANSPORT,Public Realm,"£100,674.42"
1900807441,HOMES FOR HARINGEY LIMITED,"Construction, Property and Fac Man","£94,610.08"
5201147796,RINGWAY JACOBS LIMITED,Public Realm,"£90,434.87"
1900807905,IMPOWER CONSULTING LTD,People and Recruitment,"£87,940.00"
5201145016,DIAMOND BUILD PLC,"Construction, Property and Fac Man","£86,089.00"
5201145499,LOGICALIS UK LTD,IT and Telecoms,"£80,915.46"
1900807878,MULALLEY AND CO LIMITED,"Construction, Property and Fac Man","£78,326.65"
5201145875,ON TIME PARKING SOLUTIONS,Public Realm,"£75,849.90"
5201147255,TRUSTMARQUE SOLUTIONS LIMITED,IT and Telecoms,"£74,395.00"
5201144938,WHITTINGTON HOSPITAL NHS TRUST,Public Health,"£72,000.00"
5201145384,BLENHEIM CDP,Social care,"£71,249.92"
1900806687,KEEGANS LTD,"Construction, Property and Fac Man","£65,454.56"
1900807094,THE HESLEY GROUP,General,"£64,451.25"
5201144782,RINGWAY JACOBS LIMITED,Public Realm,"£64,321.60"
1900807960,URBAN LAND MANAGEMENT LTD,Temporary Accommodation,"£63,760.30"
5201145290,VEOLIA ES (UK) LTD,Public Realm,"£63,709.79"
5201144773,RINGWAY JACOBS LIMITED,Public Realm,"£63,295.00"
1900806169,GBS Re HOME OFFICE,People and Recruitment,"£62,949.00"
1900807333,HOMES FOR HARINGEY LIMITED,People and Recruitment,"£60,253.77"
5201146184,BARTS HEALTH NHS TRUST,Public Health,"£60,000.00"
1900807531,YOUNG EPILEPSY,General,"£57,160.61"
5201145014,IXIS IT LIMITED,IT and Telecoms,"£56,700.00"
1900808662,LOGICALIS UK LTD,IT and Telecoms,"£55,654.00"
1900807518,LOGICALIS UK LTD,IT and Telecoms,"£55,654.00"
5201146010,THE PROPERTY COMPANY LONDON LTD,Temporary Accommodation,"£54,668.94"
5201146537,PELLINGS LLP,"Construction, Property and Fac Man","£53,598.00"
1900806716,MINISTRY OF JUSTICE,Legal,"£52,795.27"
8001892039,HAIL LTD,Social care,"£51,355.42"
5201146329,ETC SPORTS SURFACES LTD,"Construction, Property and Fac Man","£51,031.59"
200345850,EPIC TRUST - SWALLOW HOUSE,Social care,"£50,964.60"
200345864,ONE HOUSING GROUP LTD,Social care,"£50,958.00"
200345875,METROPOLITAN SUPPORT TRUST,Social care,"£47,877.31"
5201147819,RINGWAY JACOBS LIMITED,Public Realm,"£47,733.51"
1900807526,CIVICA UK LTD,IT and Telecoms,"£45,301.23"
1900807560,LONDON BOROUGH OF HACKNEY,"Construction, Property and Fac Man","£45,000.00"
